step,time_s,picard_iterations,picard_final_delta,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
1,0.250000,4,7.056578e-13,1.118794e-16,-8.635766e-20,2.028134e-11
2,0.500000,4,2.327027e-13,1.120027e-16,-5.441525e-20,7.136795e-12
3,0.750000,4,3.259615e-13,1.138858e-16,-4.037303e-20,8.317926e-12
4,1.000000,4,2.824407e-13,1.121423e-16,-1.823768e-20,5.354608e-12
5,1.250000,4,2.957634e-13,1.402470e-16,3.302105e-21,1.225703e-11
6,1.500000,4,2.851053e-13,1.403109e-16,-1.480322e-20,9.922306e-13
7,1.750000,4,2.864375e-13,1.122951e-16,4.142521e-21,7.399111e-12
8,2.000000,4,2.802203e-13,1.123393e-16,-2.938146e-21,7.706813e-12
9,2.250000,4,2.753353e-13,1.123797e-16,7.140223e-21,1.461602e-11
10,2.500000,4,2.700062e-13,1.225767e-16,-5.604976e-21,9.839395e-12
11,2.750000,4,2.691181e-13,1.124559e-16,-3.067847e-20,2.548645e-12
12,3.000000,4,2.660094e-13,1.373543e-16,-4.890292e-21,-4.207110e-12
13,3.250000,4,2.642331e-13,1.156205e-16,-1.461794e-20,1.152595e-11
14,3.500000,4,2.620126e-13,1.125575e-16,1.204375e-21,1.002336e-11
15,3.750000,4,2.602363e-13,1.688839e-16,1.770167e-20,1.811246e-11
16,4.000000,4,2.580158e-13,1.126195e-16,-4.314574e-21,2.496194e-12
17,4.250000,4,2.557954e-13,1.408113e-16,-1.199081e-20,2.394285e-11
18,4.500000,4,2.531308e-13,1.126780e-16,-1.729138e-20,1.416228e-11
19,4.750000,4,2.513545e-13,1.127063e-16,2.660213e-21,1.546457e-11
20,5.000000,4,2.495781e-13,1.409166e-16,-1.858179e-20,3.028741e-11
21,5.250000,4,2.478018e-13,1.409497e-16,-7.497565e-21,7.175760e-12
22,5.500000,4,2.460254e-13,1.409824e-16,-1.921706e-20,2.043132e-11
23,5.750000,4,2.433609e-13,1.128117e-16,-5.492479e-21,2.646409e-11
24,6.000000,4,2.424727e-13,1.128366e-16,-1.991189e-20,1.405804e-11
25,6.250000,4,2.402523e-13,1.410760e-16,1.577599e-20,9.555252e-12
26,6.500000,4,2.384759e-13,1.411059e-16,-2.963954e-20,1.112715e-11
27,6.750000,4,2.362555e-13,1.129083e-16,-7.087283e-21,2.046783e-11
28,7.000000,4,2.353673e-13,1.129316e-16,-1.216948e-20,7.219465e-12
29,7.250000,4,2.335909e-13,1.129544e-16,-2.183757e-21,1.404798e-11
30,7.500000,4,2.318146e-13,1.129765e-16,-3.838118e-21,4.176430e-12
31,7.750000,4,2.304823e-13,1.412480e-16,1.062100e-20,1.031043e-11
32,8.000000,4,2.287059e-13,1.130201e-16,2.567569e-21,1.660497e-11
33,8.250000,4,2.282619e-13,1.130415e-16,6.418922e-22,1.594213e-11
34,8.500000,4,2.260414e-13,1.130627e-16,3.235931e-21,1.569986e-11
35,8.750000,4,2.242651e-13,1.130833e-16,7.696088e-21,1.388486e-11
36,9.000000,4,2.224887e-13,1.147355e-16,-1.035630e-20,-1.824790e-12
37,9.250000,4,2.216005e-13,1.131237e-16,8.073283e-21,5.607077e-12
38,9.500000,4,2.198242e-13,1.414295e-16,1.158715e-20,2.019114e-12
39,9.750000,4,2.189360e-13,1.131633e-16,2.476248e-20,3.475768e-12
40,10.000000,4,2.176037e-13,1.414786e-16,1.408192e-20,6.019643e-12
41,10.250000,4,2.167155e-13,1.132021e-16,4.724856e-21,1.572174e-11
42,10.500000,4,2.144951e-13,1.698313e-16,-1.833032e-21,1.540831e-11
43,10.750000,4,2.140510e-13,1.132395e-16,-6.207163e-21,1.470031e-11
44,11.000000,4,2.127187e-13,1.132580e-16,-2.865354e-21,1.726193e-11
45,11.250000,4,2.122746e-13,1.132764e-16,-3.685917e-21,1.932225e-11
46,11.500000,4,2.109424e-13,1.416182e-16,1.285770e-20,1.121360e-11
47,11.750000,4,2.091660e-13,1.416409e-16,1.104452e-20,9.370109e-12
48,12.000000,4,2.082778e-13,1.133304e-16,8.695323e-21,2.126628e-11
49,12.250000,4,2.073897e-13,1.416848e-16,1.156729e-20,2.031363e-11
50,12.500000,4,2.065015e-13,1.700478e-16,-2.420661e-20,2.493748e-11
51,12.750000,4,2.038369e-13,1.417280e-16,-1.183199e-20,1.347565e-11
52,13.000000,4,2.042810e-13,1.133995e-16,2.296253e-20,2.285672e-13
53,13.250000,4,2.038369e-13,1.060290e-16,-2.448455e-21,1.464994e-11
54,13.500000,4,2.016165e-13,1.417918e-16,7.563740e-21,1.515622e-11
55,13.750000,4,2.007283e-13,1.134501e-16,1.396943e-20,1.660340e-11
56,14.000000,4,1.998401e-13,1.418330e-16,9.979107e-21,3.112718e-12
57,14.250000,4,1.993961e-13,1.134827e-16,8.821054e-21,1.822009e-11
58,14.500000,4,1.980638e-13,1.418736e-16,-2.487498e-20,1.989813e-11
59,14.750000,4,1.971756e-13,1.418936e-16,-9.132074e-21,1.261598e-11
60,15.000000,4,1.962874e-13,1.419136e-16,-3.622389e-20,3.301978e-11
61,15.250000,4,1.953993e-13,1.216638e-16,1.750976e-20,1.403293e-11
62,15.500000,4,1.945111e-13,1.419532e-16,6.551270e-21,1.926395e-11
63,15.750000,4,1.931788e-13,1.419727e-16,1.164670e-21,1.517078e-12
64,16.000000,4,1.931788e-13,1.419919e-16,-1.574952e-20,1.779302e-11
65,16.250000,4,1.914024e-13,1.420110e-16,-5.902761e-21,1.737524e-11
66,16.500000,4,1.914024e-13,1.420300e-16,-5.432922e-21,7.504192e-12
67,16.750000,4,1.905143e-13,1.420488e-16,-6.723324e-21,1.161597e-11
68,17.000000,4,1.896261e-13,1.136541e-16,3.262400e-21,7.933584e-12
69,17.250000,4,1.896261e-13,1.136691e-16,1.934279e-20,8.908305e-12
70,17.500000,4,1.887379e-13,1.286050e-16,-1.222904e-20,1.399306e-11
71,17.750000,4,1.882938e-13,1.421235e-16,2.997041e-20,2.448942e-11
72,18.000000,4,1.865175e-13,1.421416e-16,7.702706e-21,5.990958e-12
73,18.250000,4,1.865175e-13,1.137277e-16,1.496866e-20,2.235893e-11
74,18.500000,4,1.842970e-13,1.421776e-16,-3.148580e-20,5.191625e-12
75,18.750000,4,1.847411e-13,1.137563e-16,1.568996e-20,2.187853e-11
76,19.000000,4,1.847411e-13,1.137706e-16,-1.082614e-20,2.760972e-12
77,19.250000,4,1.825207e-13,1.706771e-16,-1.048203e-20,1.948998e-11
78,19.500000,4,1.829648e-13,1.422486e-16,-1.257315e-22,1.607242e-11
79,19.750000,4,1.816325e-13,1.422661e-16,-4.665299e-21,1.848408e-11
80,20.000000,4,1.816325e-13,1.138269e-16,-2.247284e-20,1.815835e-11
81,20.250000,4,1.807443e-13,1.199019e-16,1.391649e-20,8.350015e-12
82,20.500000,4,1.794120e-13,1.138543e-16,3.891058e-21,1.715468e-11
83,20.750000,4,1.794120e-13,1.423348e-16,2.674771e-20,1.704259e-11
84,21.000000,4,1.789680e-13,1.138814e-16,-6.849055e-21,8.983578e-12
85,21.250000,4,1.780798e-13,1.138949e-16,1.430692e-20,1.152523e-11
86,21.500000,4,1.776357e-13,1.423854e-16,4.168990e-22,7.403841e-12
87,21.750000,4,1.763034e-13,1.424021e-16,1.498851e-20,1.923860e-11
88,22.000000,4,1.763034e-13,1.424188e-16,-1.068717e-20,1.025953e-11
89,22.250000,4,1.754152e-13,1.139483e-16,-8.635766e-21,1.358576e-11
90,22.500000,4,1.745271e-13,1.424518e-16,-2.788591e-20,4.990536e-12
91,22.750000,4,1.749711e-13,1.424680e-16,-1.320842e-20,1.544945e-11
92,23.000000,4,1.745271e-13,1.139873e-16,2.079863e-20,2.417394e-11
93,23.250000,4,1.736389e-13,1.425003e-16,-4.202078e-21,1.197975e-11
94,23.500000,4,1.731948e-13,1.494216e-16,9.641617e-21,2.098903e-11
95,23.750000,4,1.731948e-13,1.425323e-16,1.522674e-20,4.624884e-12
96,24.000000,4,1.723066e-13,1.140386e-16,-4.172961e-20,1.823881e-11
97,24.250000,4,1.718625e-13,1.425641e-16,-3.187623e-20,1.796560e-11
98,24.500000,4,1.714184e-13,1.425800e-16,-4.446923e-21,1.664392e-11
99,24.750000,4,1.700862e-13,1.140766e-16,1.373782e-20,1.731187e-11
100,25.000000,4,1.705303e-13,1.426114e-16,2.840207e-20,2.467383e-11
101,25.250000,4,1.691980e-13,1.141015e-16,-7.755645e-21,2.064250e-11
102,25.500000,4,1.691980e-13,1.711707e-16,-2.514629e-22,1.433886e-11
103,25.750000,4,1.687539e-13,1.250841e-16,2.787930e-20,5.206571e-12
104,26.000000,4,1.678657e-13,1.141383e-16,-6.849055e-21,2.482432e-11
105,26.250000,4,1.678657e-13,1.712257e-16,2.216844e-21,9.430248e-12
106,26.500000,4,1.669775e-13,1.141626e-16,-2.821017e-20,2.719606e-11
107,26.750000,4,1.660894e-13,1.427184e-16,-2.335296e-20,1.391745e-11
108,27.000000,4,1.660894e-13,1.250766e-16,4.435673e-20,3.017664e-11
109,27.250000,4,1.652012e-13,1.427486e-16,1.638479e-20,1.633374e-11
110,27.500000,4,1.647571e-13,1.142109e-16,-2.298900e-20,5.704728e-12
111,27.750000,4,1.647571e-13,1.427785e-16,-2.875280e-20,2.382047e-11
112,28.000000,4,1.643130e-13,1.142345e-16,-3.606507e-21,2.395953e-11
113,28.250000,4,1.638689e-13,1.428079e-16,-5.982170e-21,1.104047e-11
114,28.500000,4,1.634248e-13,1.713870e-16,-3.288870e-21,2.344969e-11
115,28.750000,4,1.629807e-13,1.142696e-16,-1.538556e-20,2.524379e-11
116,29.000000,4,1.629807e-13,1.714219e-16,-8.569591e-21,1.325487e-11
117,29.250000,4,1.625367e-13,1.714393e-16,3.003658e-20,1.221104e-11
118,29.500000,4,1.612044e-13,1.428806e-16,-4.215312e-21,1.856942e-11
119,29.750000,4,1.620926e-13,1.428950e-16,7.682854e-21,2.325710e-11
120,30.000000,4,1.620926e-13,1.143275e-16,-1.950823e-20,4.908879e-12
121,30.250000,4,1.607603e-13,1.143389e-16,-1.157391e-20,2.193415e-11
122,30.500000,4,1.598721e-13,1.429380e-16,-3.924145e-21,1.656333e-11
123,30.750000,4,1.603162e-13,1.143616e-16,-4.221930e-21,1.801621e-11
124,31.000000,4,1.594280e-13,1.429661e-16,-1.056806e-20,2.501996e-11
125,31.250000,4,1.589839e-13,1.429801e-16,8.099753e-21,8.711601e-12
126,31.500000,4,1.598721e-13,1.143952e-16,1.868766e-20,2.382929e-11
127,31.750000,4,1.580958e-13,1.144064e-16,-2.142729e-20,2.644135e-11
128,32.000000,4,1.572076e-13,1.430219e-16,-3.000350e-20,1.134851e-11
129,32.250000,4,1.576517e-13,1.716428e-16,4.341044e-21,1.412775e-11
130,32.500000,4,1.563194e-13,1.430495e-16,8.695323e-21,1.330067e-11
131,32.750000,4,1.563194e-13,1.144506e-16,-2.124200e-20,2.095851e-11
132,33.000000,4,1.567635e-13,1.430770e-16,1.535247e-20,1.959249e-11
133,33.250000,4,1.563194e-13,1.430908e-16,2.329341e-20,4.875433e-12
134,33.500000,4,1.549871e-13,1.431044e-16,7.299042e-21,3.859774e-11
135,33.750000,4,1.554312e-13,1.431179e-16,2.527202e-20,1.126721e-11
136,34.000000,4,1.545430e-13,1.431313e-16,1.324812e-20,2.558573e-11
137,34.250000,4,1.554312e-13,1.145158e-16,-2.105671e-20,1.501765e-11
138,34.500000,4,1.549871e-13,1.431581e-16,1.331430e-20,1.637337e-11
139,34.750000,4,1.536549e-13,1.431715e-16,2.285004e-20,1.228873e-11
140,35.000000,4,1.540990e-13,1.189474e-16,-2.647640e-20,7.471912e-12
141,35.250000,4,1.536549e-13,1.145585e-16,1.081290e-20,1.385761e-11
142,35.500000,4,1.536549e-13,1.145691e-16,1.709286e-20,2.234257e-11
143,35.750000,4,1.527667e-13,1.432245e-16,8.649000e-21,2.311981e-11
144,36.000000,4,1.523226e-13,1.432377e-16,-1.901192e-20,6.148637e-12
145,36.250000,4,1.518785e-13,1.432509e-16,2.077878e-21,3.010320e-11
146,36.500000,4,1.518785e-13,1.146112e-16,-6.180694e-21,-2.684519e-13
147,36.750000,4,1.514344e-13,1.146216e-16,-2.031556e-21,2.309206e-11
148,37.000000,4,1.514344e-13,1.319562e-16,1.426059e-20,2.135953e-11
149,37.250000,4,1.509903e-13,1.433028e-16,-6.412304e-21,2.595127e-11
150,37.500000,4,1.509903e-13,1.146526e-16,-1.349959e-20,2.056355e-11
151,37.750000,4,1.509903e-13,1.719942e-16,-1.025704e-20,8.025774e-12
152,38.000000,4,1.492140e-13,1.433413e-16,3.255783e-21,5.531575e-12
153,38.250000,4,1.505462e-13,1.146833e-16,-1.222904e-20,9.480111e-12
