step,time_s,picard_iterations,picard_final_delta,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
1,0.125000,3,4.337419e-11,1.335430e-16,7.808585e-21,1.144478e-12
2,0.250000,3,8.267254e-11,1.335866e-16,-1.817150e-20,1.636655e-12
3,0.375000,4,7.105427e-15,1.336403e-16,6.491713e-21,-4.109128e-12
4,0.500000,4,8.437695e-15,1.336955e-16,-1.360547e-20,-2.853664e-12
5,0.625000,4,8.437695e-15,1.337490e-16,-8.271806e-21,-4.435709e-12
6,0.750000,4,9.325873e-15,1.337886e-16,3.798413e-21,1.973883e-12
7,0.875000,4,8.881784e-15,1.338191e-16,-1.785387e-20,-5.171322e-12
8,1.000000,4,9.769963e-15,1.338501e-16,-1.179890e-20,-7.458131e-13
9,1.125000,4,1.021405e-14,1.338812e-16,-6.617445e-22,7.250442e-13
10,1.250000,4,1.021405e-14,1.339122e-16,-7.279189e-23,1.319840e-12
11,1.375000,4,1.021405e-14,1.339430e-16,1.735756e-20,-1.866102e-12
12,1.500000,4,1.065814e-14,1.339734e-16,-9.330597e-22,-1.057958e-12
13,1.625000,4,1.065814e-14,1.453196e-16,6.703472e-21,-2.074426e-13
14,1.750000,4,1.065814e-14,1.705923e-16,3.062553e-20,1.663690e-12
15,1.875000,4,1.021405e-14,1.340502e-16,1.097834e-20,-6.132881e-13
16,2.000000,4,1.110223e-14,1.340717e-16,-1.542526e-20,-2.589885e-12
17,2.125000,4,1.154632e-14,1.579551e-16,4.777795e-21,-1.189058e-12
18,2.250000,4,1.199041e-14,1.341147e-16,-2.421985e-21,-2.607350e-12
19,2.375000,4,1.154632e-14,1.341361e-16,5.982170e-21,2.131177e-12
20,2.500000,4,1.110223e-14,1.642723e-16,7.821820e-21,-4.977798e-12
21,2.625000,4,1.065814e-14,1.341787e-16,-1.837003e-20,-1.817716e-12
22,2.750000,4,1.154632e-14,1.341998e-16,-9.039430e-21,-8.756528e-12
23,2.875000,4,1.154632e-14,1.342208e-16,-4.857205e-21,-6.240605e-12
24,3.000000,4,1.154632e-14,1.342416e-16,-4.129286e-21,-1.472898e-12
