step,time_s,picard_iterations,picard_final_delta,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
1,0.250000,3,5.618057e-10,1.114889e-16,-1.766196e-20,2.821674e-12
2,0.500000,3,6.788050e-10,1.115831e-16,-2.203609e-20,3.246292e-12
3,0.750000,3,7.207208e-10,1.467745e-16,-4.797648e-21,2.239710e-12
4,1.000000,3,7.337380e-10,1.234237e-16,-1.099158e-20,-2.867110e-12
5,1.250000,3,7.338592e-10,1.134161e-16,-7.160075e-21,1.645912e-12
6,1.500000,3,7.278222e-10,1.601163e-16,1.381061e-20,-2.167279e-12
7,1.750000,3,7.187735e-10,1.118698e-16,1.062762e-20,-3.084429e-12
8,2.000000,3,7.082952e-10,1.134150e-16,1.238124e-20,1.501847e-12
9,2.250000,3,6.972254e-10,1.634504e-16,-4.255017e-21,-1.323894e-12
10,2.500000,3,6.860250e-10,1.119792e-16,8.404155e-22,1.115082e-12
11,2.750000,3,6.749481e-10,1.120148e-16,-9.582060e-21,-2.900544e-12
12,3.000000,3,6.641336e-10,1.134132e-16,6.908612e-21,-3.083964e-12
13,3.250000,3,6.536598e-10,1.120843e-16,-3.996937e-21,2.597868e-12
14,3.500000,3,6.435621e-10,1.121128e-16,-2.167213e-20,2.996284e-13
15,3.750000,3,6.338530e-10,1.067404e-16,-3.123434e-21,1.870275e-12
16,4.000000,3,6.245311e-10,1.121686e-16,1.279152e-20,1.685735e-13
17,4.250000,3,6.155885e-10,1.121962e-16,-1.562379e-20,-4.660161e-13
18,4.500000,3,6.070100e-10,1.434303e-16,-5.393218e-21,4.881567e-12
19,4.750000,3,5.987824e-10,1.167450e-16,1.690757e-20,2.149166e-12
20,5.000000,3,5.908869e-10,1.200799e-16,-1.297019e-21,2.205385e-12
21,5.250000,3,5.833041e-10,1.123038e-16,-2.885206e-21,2.703317e-12
22,5.500000,3,5.760210e-10,1.500982e-16,2.525217e-20,1.758631e-12
23,5.750000,3,5.690191e-10,1.134069e-16,1.217610e-21,-8.243684e-13
24,6.000000,3,5.622818e-10,1.334191e-16,7.113753e-21,-3.816007e-12
25,6.250000,3,5.557959e-10,1.123949e-16,1.106437e-20,3.232432e-12
26,6.500000,3,5.495453e-10,1.686258e-16,4.354279e-21,2.551574e-12
27,6.750000,3,5.435190e-10,1.234104e-16,-2.007733e-20,2.545669e-12
28,7.000000,3,5.377032e-10,1.124612e-16,1.514071e-20,-3.618182e-12
29,7.250000,3,5.320873e-10,1.124831e-16,-2.034864e-20,-1.029430e-12
30,7.500000,3,5.266587e-10,1.134019e-16,3.910910e-21,3.351971e-12
31,7.750000,3,5.214096e-10,1.267425e-16,-1.036292e-20,4.972300e-12
32,8.000000,3,5.163296e-10,1.200710e-16,2.352502e-20,-1.724558e-12
33,8.250000,3,5.114100e-10,1.125655e-16,-1.974646e-20,-1.515316e-13
34,8.500000,3,5.066432e-10,1.267399e-16,2.196992e-21,-5.210901e-12
35,8.750000,3,5.020193e-10,1.126032e-16,6.915230e-21,-1.674251e-12
36,9.000000,3,4.975349e-10,1.133972e-16,1.038277e-20,5.342275e-12
37,9.250000,3,4.931811e-10,1.133964e-16,2.058025e-21,-2.287434e-12
38,9.500000,3,4.889520e-10,1.126592e-16,-1.508777e-20,-2.164581e-12
39,9.750000,3,4.848415e-10,1.367407e-16,-2.018321e-21,-3.413103e-13
40,10.000000,3,4.808451e-10,1.126960e-16,-9.271040e-21,-3.146677e-12
41,10.250000,3,4.769558e-10,1.300684e-16,-3.044025e-22,1.612689e-12
42,10.500000,3,4.731704e-10,1.127326e-16,2.209565e-20,1.451401e-12
43,10.750000,3,4.694840e-10,1.127507e-16,2.071260e-21,2.305878e-12
44,11.000000,3,4.658922e-10,1.127687e-16,6.729941e-21,-8.913911e-13
45,11.250000,3,4.623919e-10,1.127851e-16,-7.021109e-21,-2.417302e-12
46,11.500000,3,4.589777e-10,1.534080e-16,2.530511e-20,-2.635878e-13
47,11.750000,3,4.556471e-10,1.167225e-16,-6.763029e-21,1.444074e-12
48,12.000000,3,4.523959e-10,1.128337e-16,2.460366e-20,1.679039e-12
49,12.250000,3,4.492224e-10,1.233903e-16,6.981404e-21,-1.755956e-12
50,12.500000,3,4.461218e-10,1.692988e-16,4.771178e-21,-8.826828e-13
51,12.750000,3,4.430927e-10,1.128818e-16,4.168990e-22,-1.105921e-13
52,13.000000,3,4.401324e-10,1.128978e-16,1.338047e-20,2.975363e-12
53,13.250000,3,4.372360e-10,1.693705e-16,-8.265189e-21,-5.852818e-13
54,13.500000,3,4.344041e-10,1.129295e-16,-3.130051e-21,-4.357993e-12
55,13.750000,3,4.316338e-10,1.129452e-16,-8.503417e-21,-2.142633e-12
56,14.000000,3,4.289218e-10,1.129609e-16,-9.773966e-21,3.953615e-12
57,14.250000,3,4.262657e-10,1.129766e-16,3.930762e-21,2.846126e-12
58,14.500000,3,4.236651e-10,1.133768e-16,2.852119e-21,1.181812e-12
59,14.750000,3,4.211174e-10,1.233795e-16,-1.866119e-21,4.580177e-12
60,15.000000,3,4.186202e-10,1.695324e-16,1.773475e-21,-2.357795e-12
61,15.250000,3,4.161729e-10,1.267118e-16,-1.612671e-20,2.692284e-12
62,15.500000,3,4.137735e-10,1.267106e-16,-4.135903e-21,-3.043420e-12
63,15.750000,3,4.114193e-10,1.400472e-16,8.860759e-21,-4.186373e-13
64,16.000000,3,4.091110e-10,1.400459e-16,-6.101284e-21,-3.268497e-13
65,16.250000,3,4.068448e-10,1.696387e-16,8.099753e-21,5.810630e-14
66,16.500000,3,4.046217e-10,1.131065e-16,-8.404155e-22,2.089592e-12
67,16.750000,3,4.024390e-10,1.131205e-16,-9.462946e-21,-1.496026e-14
68,17.000000,3,4.002954e-10,1.131345e-16,-6.021875e-21,-1.778452e-12
69,17.250000,3,3.981895e-10,1.131484e-16,5.287338e-21,2.403494e-13
70,17.500000,3,3.961209e-10,1.400378e-16,1.083937e-20,2.112074e-12
71,17.750000,3,3.940892e-10,1.697642e-16,1.419442e-20,1.419906e-12
72,18.000000,3,3.920921e-10,1.266983e-16,1.641126e-21,-1.505282e-12
73,18.250000,3,3.901284e-10,1.132037e-16,6.220398e-22,1.245989e-12
74,18.500000,3,3.881975e-10,1.266957e-16,8.026961e-21,5.251605e-12
75,18.750000,3,3.862990e-10,1.132312e-16,6.683619e-21,3.248041e-12
76,19.000000,3,3.844325e-10,1.133570e-16,-4.711621e-21,2.337061e-12
77,19.250000,3,3.825944e-10,1.132572e-16,7.213015e-22,2.834538e-12
78,19.500000,3,3.807870e-10,1.132698e-16,4.162373e-21,2.410433e-12
79,19.750000,3,3.790084e-10,1.266892e-16,-1.158053e-20,-1.560044e-12
80,20.000000,3,3.772573e-10,1.133523e-16,-5.386600e-21,-3.109429e-12
81,20.250000,3,3.755329e-10,1.133077e-16,6.716707e-21,1.039030e-12
82,20.500000,3,3.738356e-10,1.133202e-16,1.799945e-21,6.447620e-13
83,20.750000,3,3.721645e-10,1.133327e-16,-2.686683e-21,1.477957e-12
84,21.000000,3,3.705174e-10,1.133475e-16,2.163904e-20,7.395473e-14
85,21.250000,3,3.688965e-10,1.700366e-16,1.331430e-20,-2.416817e-13
86,21.500000,3,3.672982e-10,1.200124e-16,-9.297510e-21,2.945755e-12
87,21.750000,3,3.657230e-10,1.133826e-16,-2.541761e-20,9.930945e-13
88,22.000000,3,3.641718e-10,1.133950e-16,-1.561055e-20,1.663572e-12
89,22.250000,3,3.626415e-10,1.333427e-16,3.705769e-22,1.848105e-12
90,22.500000,3,3.611338e-10,1.134197e-16,9.813671e-21,1.531109e-12
91,22.750000,3,3.596465e-10,1.200058e-16,-2.946086e-20,4.504327e-12
92,23.000000,3,3.581806e-10,1.134442e-16,1.400251e-20,1.355638e-12
93,23.250000,3,3.567338e-10,1.633375e-16,2.885206e-21,7.141926e-13
94,23.500000,3,3.553069e-10,1.134687e-16,1.322165e-20,-2.298911e-12
95,23.750000,3,3.539005e-10,1.702212e-16,-6.187311e-21,-4.407169e-13
96,24.000000,3,3.525114e-10,1.433321e-16,3.185638e-20,4.162781e-13
97,24.250000,3,3.511418e-10,1.233308e-16,1.621936e-20,4.447151e-12
98,24.500000,3,3.497895e-10,1.399956e-16,5.631446e-21,5.122985e-13
99,24.750000,3,3.484550e-10,1.135264e-16,-8.271806e-22,-4.238929e-12
100,25.000000,3,3.471379e-10,1.135377e-16,6.498331e-21,-1.957240e-12
101,25.250000,3,3.458367e-10,1.703236e-16,1.968690e-20,1.208908e-12
102,25.500000,3,3.445542e-10,1.135604e-16,7.232867e-21,-2.302325e-13
103,25.750000,3,3.432858e-10,1.703575e-16,-8.602678e-22,2.460476e-12
104,26.000000,3,3.420335e-10,1.666496e-16,-2.098392e-20,1.114012e-12
105,26.250000,3,3.407967e-10,1.135942e-16,2.221476e-20,-4.118844e-12
