step,time_s,picard_iterations,picard_delta_temperature_C,picard_delta_moisture_kgkg,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
1,1.000000,4,4.689582e-13,2.562395e-13,2.670090e-16,1.821783e-20,-2.774734e-11
2,2.000000,4,3.446132e-13,7.340795e-13,3.358771e-16,5.267486e-21,8.993447e-12
3,3.000000,4,3.304024e-13,4.241052e-13,2.687798e-16,4.941246e-20,-3.559037e-12
4,4.000000,4,3.765876e-13,5.893064e-13,2.693753e-16,2.836899e-20,-1.964725e-11
5,5.000000,4,4.369838e-13,4.805045e-13,3.373724e-16,-1.516057e-20,-1.121316e-11
6,6.000000,4,4.121148e-13,5.284662e-13,3.379677e-16,-6.617445e-22,-4.071321e-11
7,7.000000,4,4.476419e-13,4.711787e-13,3.384758e-16,1.130921e-20,3.293591e-11
8,8.000000,4,2.913225e-13,4.889422e-13,3.390170e-16,-2.534481e-21,1.098178e-11
9,9.000000,4,5.861978e-13,4.463097e-13,3.369186e-16,-4.102816e-22,-3.110569e-11
10,10.000000,4,2.984279e-13,4.516387e-13,2.719615e-16,-2.818370e-20,8.835904e-12
11,11.000000,4,4.902745e-13,4.183320e-13,2.723015e-16,2.679403e-20,1.916155e-12
12,12.000000,4,3.943512e-13,4.125589e-13,2.726314e-16,5.147710e-20,-1.698966e-11
13,13.000000,4,3.304024e-13,3.894662e-13,3.411589e-16,4.108772e-20,3.964537e-13
14,14.000000,4,4.298784e-13,3.823608e-13,2.732483e-16,-3.560185e-21,-3.422428e-11
15,15.000000,4,3.339551e-13,3.619327e-13,2.735433e-16,-3.702460e-20,-2.202989e-11
16,16.000000,4,4.085621e-13,3.512746e-13,2.738234e-16,-2.609920e-20,-2.635873e-11
17,17.000000,4,4.334311e-13,3.352874e-13,3.426258e-16,-1.013131e-20,-2.767120e-11
18,18.000000,4,4.298784e-13,3.188561e-13,2.743636e-16,5.058375e-20,4.984846e-12
19,19.000000,4,3.161915e-13,3.077538e-13,2.746251e-16,-2.550363e-20,-1.729469e-11
20,20.000000,4,4.227729e-13,2.944311e-13,3.435932e-16,1.770167e-20,-1.842528e-11
21,21.000000,4,4.334311e-13,2.815526e-13,2.751218e-16,4.462805e-20,-1.828020e-11
22,22.000000,4,5.471179e-13,2.682299e-13,2.753607e-16,1.900530e-20,-5.774337e-11
23,23.000000,4,4.156675e-13,2.575717e-13,2.755952e-16,-2.190374e-21,1.346645e-11
24,24.000000,4,3.446132e-13,2.446932e-13,2.758256e-16,3.719666e-20,-2.252062e-11
25,25.000000,4,4.689582e-13,2.322587e-13,2.760486e-16,6.855673e-21,1.534686e-11
26,26.000000,4,2.664535e-13,2.207123e-13,2.762713e-16,-1.713918e-21,-8.333334e-13
27,27.000000,4,3.410605e-13,2.087219e-13,2.764847e-16,-1.089893e-20,-3.506589e-11
28,28.000000,4,2.522427e-13,2.091660e-13,3.458712e-16,2.686683e-21,3.537448e-12
29,29.000000,4,4.121148e-13,2.056133e-13,3.382822e-16,-9.496033e-21,3.150427e-11
30,30.000000,4,3.161915e-13,1.958433e-13,3.463727e-16,-3.394749e-21,-2.233909e-11
31,31.000000,4,3.659295e-13,1.914024e-13,2.773110e-16,-5.487847e-20,-5.440268e-11
32,32.000000,4,4.689582e-13,1.927347e-13,3.468850e-16,9.734261e-21,5.331846e-14
33,33.000000,4,5.293543e-13,1.847411e-13,3.471271e-16,-1.138201e-20,-2.446773e-11
34,34.000000,4,4.760636e-13,1.807443e-13,2.778951e-16,-4.815515e-20,-2.240266e-11
35,35.000000,4,3.836931e-13,1.851852e-13,3.476028e-16,1.602745e-20,8.919171e-12
36,36.000000,4,3.907985e-13,1.780798e-13,3.478346e-16,-1.864134e-20,-5.108719e-11
37,37.000000,4,3.304024e-13,1.754152e-13,3.480661e-16,-4.288104e-21,-1.706096e-11
38,38.000000,4,3.019807e-13,1.745271e-13,3.387162e-16,-6.121798e-20,-1.976555e-11
39,39.000000,4,4.156675e-13,1.736389e-13,3.485122e-16,1.624583e-20,3.587824e-12
40,40.000000,4,3.339551e-13,1.696421e-13,3.487341e-16,-6.736559e-21,-7.582435e-12
41,41.000000,4,2.842171e-13,1.723066e-13,3.489500e-16,2.102362e-20,-1.751607e-11
42,42.000000,4,3.197442e-13,1.647571e-13,3.491633e-16,5.955700e-21,7.058243e-13
43,43.000000,4,4.369838e-13,1.638689e-13,2.795011e-16,-4.182225e-21,-1.642880e-12
44,44.000000,4,4.014566e-13,1.629807e-13,3.389437e-16,2.008395e-20,-4.532827e-11
45,45.000000,4,3.659295e-13,1.612044e-13,2.798326e-16,-1.741050e-20,-5.728307e-12
46,46.000000,4,3.055334e-13,1.607603e-13,3.499870e-16,-2.736313e-20,-3.110723e-11
47,47.000000,4,4.831691e-13,1.554312e-13,2.801597e-16,-4.211342e-20,8.199996e-12
48,48.000000,4,3.907985e-13,1.567635e-13,3.503969e-16,8.026961e-21,7.006590e-12
49,49.000000,4,3.517187e-13,1.527667e-13,3.505941e-16,-1.750314e-20,9.308915e-12
50,50.000000,4,3.979039e-13,1.532108e-13,3.507833e-16,3.719666e-20,-2.981951e-11
