step,time_s,picard_iterations,picard_delta_temperature_C,picard_delta_moisture_kgkg,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
1,1.000000,4,1.215028e-12,2.846612e-13,2.886033e-16,1.664155e-19,1.325447e-10
2,2.000000,4,1.641354e-12,8.197887e-13,3.368360e-16,1.349959e-20,1.886904e-11
3,3.000000,4,1.257661e-12,4.702905e-13,2.905148e-16,-1.005852e-19,2.666069e-11
4,4.000000,4,1.620037e-12,6.377121e-13,2.911633e-16,-1.205037e-20,7.448372e-11
5,5.000000,4,1.321609e-12,5.258016e-13,2.917304e-16,2.781709e-19,1.213589e-10
6,6.000000,4,2.334133e-12,5.742073e-13,3.375262e-16,1.645295e-19,-1.324842e-11
7,7.000000,4,1.467271e-12,5.102585e-13,2.927239e-16,1.332092e-20,-1.000267e-11
8,8.000000,4,1.545430e-12,5.289102e-13,3.664189e-16,3.321957e-21,-2.526015e-11
9,9.000000,4,1.520561e-12,4.960476e-13,3.378748e-16,2.878589e-21,-3.130343e-12
10,10.000000,4,1.119105e-12,5.013767e-13,2.939711e-16,-1.277299e-19,3.766203e-12
11,11.000000,4,1.580958e-12,4.654055e-13,3.380177e-16,-2.290298e-20,7.265232e-11
12,12.000000,4,1.762146e-12,4.547474e-13,3.381190e-16,-7.862186e-20,-8.829201e-12
13,13.000000,4,1.868727e-12,4.338752e-13,3.382490e-16,-1.098496e-20,1.590598e-10
14,14.000000,4,1.445954e-12,4.098943e-13,2.953701e-16,4.397954e-20,9.098687e-12
15,15.000000,4,1.548983e-12,3.921308e-13,3.696089e-16,1.810401e-19,8.332540e-11
16,16.000000,4,1.293188e-12,3.814726e-13,2.959937e-16,-7.351981e-21,-7.190526e-12
17,17.000000,4,2.575717e-12,3.628209e-13,3.703634e-16,-9.512577e-20,-9.570790e-11
18,18.000000,4,1.247003e-12,3.557155e-13,3.707239e-16,2.199639e-20,-6.402257e-11
19,19.000000,4,1.293188e-12,3.339551e-13,2.968595e-16,9.008328e-20,1.108236e-11
20,20.000000,4,1.332268e-12,3.157474e-13,2.971325e-16,6.984713e-20,7.255378e-11
21,21.000000,4,1.417533e-12,3.028688e-13,3.717285e-16,3.476144e-20,-4.125429e-11
22,22.000000,4,1.218581e-12,2.939871e-13,2.976587e-16,7.401612e-20,1.468621e-11
23,23.000000,4,1.289635e-12,2.819966e-13,3.389445e-16,-7.289116e-20,-1.932454e-11
24,24.000000,4,1.811884e-12,2.704503e-13,3.390022e-16,-9.362361e-20,1.179332e-10
25,25.000000,4,1.218581e-12,2.557954e-13,2.984048e-16,5.188077e-21,7.829712e-11
26,26.000000,4,2.152944e-12,2.353673e-13,3.391125e-16,-1.780093e-20,3.763416e-11
27,27.000000,4,1.296740e-12,2.380318e-13,2.988762e-16,-2.512644e-20,1.976982e-10
28,28.000000,4,1.502798e-12,2.184919e-13,3.392170e-16,-6.679649e-20,-2.205433e-11
29,29.000000,4,1.776357e-12,2.167155e-13,3.392366e-16,-6.703472e-21,-2.886913e-12
30,30.000000,4,1.179501e-12,2.029488e-13,3.393162e-16,3.196888e-20,1.261799e-10
31,31.000000,4,2.088996e-12,2.109424e-13,3.393344e-16,9.899698e-20,-1.177060e-10
32,32.000000,4,1.961098e-12,1.878497e-13,2.999833e-16,-7.940934e-22,9.429518e-11
33,33.000000,4,1.293188e-12,1.940670e-13,3.001944e-16,-1.123642e-20,8.010997e-11
34,34.000000,4,1.513456e-12,1.780798e-13,3.004009e-16,-4.534935e-20,1.695551e-10
35,35.000000,4,8.526513e-13,1.896261e-13,3.006049e-16,-1.679508e-20,1.176255e-10
36,36.000000,4,1.129763e-12,1.705303e-13,3.008065e-16,-1.663096e-19,-1.557329e-11
37,37.000000,4,1.179501e-12,1.776357e-13,3.396282e-16,5.832616e-20,-2.070341e-11
38,38.000000,4,1.623590e-12,1.771916e-13,3.396688e-16,-9.497357e-20,-3.302569e-11
39,39.000000,4,1.435296e-12,1.776357e-13,3.396823e-16,7.588886e-20,-6.644046e-11
40,40.000000,4,1.815437e-12,1.705303e-13,3.397475e-16,9.703821e-20,-8.075124e-11
41,41.000000,4,1.023182e-12,1.603162e-13,3.017704e-16,-9.200234e-20,1.220155e-10
42,42.000000,4,1.239897e-12,1.589839e-13,3.398230e-16,-2.140082e-20,-3.486816e-11
43,43.000000,4,2.042810e-12,1.585398e-13,3.021387e-16,-9.149279e-20,4.742939e-11
44,44.000000,4,9.876544e-13,1.572076e-13,3.023199e-16,5.876953e-20,8.956905e-11
45,45.000000,4,1.353584e-12,1.589839e-13,3.399304e-16,5.642695e-20,-1.068237e-11
46,46.000000,4,1.314504e-12,1.434408e-13,3.026749e-16,-7.780792e-20,4.228071e-11
47,47.000000,4,1.495692e-12,1.563194e-13,3.028499e-16,1.065409e-19,-1.239256e-11
48,48.000000,4,1.801226e-12,1.527667e-13,3.400314e-16,-1.152097e-19,-7.614917e-11
49,49.000000,4,1.509903e-12,1.483258e-13,3.400403e-16,-3.582685e-20,-3.526415e-11
50,50.000000,4,1.417533e-12,1.456613e-13,3.400956e-16,2.229417e-20,6.159931e-11
51,51.000000,4,1.723066e-12,1.492140e-13,3.794112e-16,-8.804510e-20,5.044593e-11
52,52.000000,4,1.254108e-12,1.461054e-13,3.796179e-16,-1.264594e-19,6.003587e-11
53,53.000000,4,1.648459e-12,1.469935e-13,3.038579e-16,-1.030336e-20,1.005022e-10
54,54.000000,4,1.197265e-12,1.567635e-13,3.402166e-16,3.447027e-20,-3.619782e-11
55,55.000000,4,1.485034e-12,1.443290e-13,3.041802e-16,-1.318195e-20,-2.095155e-11
56,56.000000,4,1.477929e-12,1.381117e-13,3.402737e-16,6.557226e-20,4.231551e-11
57,57.000000,4,1.122658e-12,1.429967e-13,3.044964e-16,-2.468307e-20,-5.802936e-11
58,58.000000,4,1.758593e-12,1.456613e-13,3.403287e-16,1.686125e-20,-2.006448e-11
59,59.000000,4,1.261213e-12,1.385558e-13,3.048066e-16,-8.281071e-20,8.707901e-11
60,60.000000,4,1.257661e-12,1.252332e-13,3.403816e-16,-1.518902e-19,-6.244000e-11
61,61.000000,4,8.952838e-13,1.292300e-13,3.051112e-16,9.218101e-21,1.029463e-11
62,62.000000,4,1.268319e-12,1.376677e-13,3.404314e-16,4.931982e-20,6.385395e-11
63,63.000000,4,1.595168e-12,1.492140e-13,3.404552e-16,1.392972e-20,2.535222e-12
64,64.000000,4,1.222134e-12,1.412204e-13,3.055580e-16,6.050992e-20,-8.300277e-11
65,65.000000,4,1.097789e-12,1.407763e-13,3.405010e-16,-2.417353e-20,7.036860e-11
66,66.000000,4,1.008971e-12,1.496581e-13,3.058485e-16,6.375246e-20,-6.094603e-11
67,67.000000,4,1.083578e-12,1.469935e-13,3.405445e-16,-4.618977e-20,6.938711e-11
68,68.000000,4,9.876544e-13,1.585398e-13,3.405654e-16,1.089033e-19,-2.513634e-11
69,69.000000,4,1.442402e-12,1.625367e-13,3.405858e-16,2.664845e-20,7.962564e-11
70,70.000000,4,1.627143e-12,1.594280e-13,3.406056e-16,5.924598e-20,1.493736e-10
71,71.000000,4,1.289635e-12,1.669775e-13,3.065523e-16,3.734886e-20,-4.724354e-11
72,72.000000,4,1.058709e-12,1.696421e-13,3.406439e-16,-1.430030e-20,-6.012579e-12
73,73.000000,4,1.737277e-12,1.865175e-13,3.406623e-16,2.977188e-20,-2.864742e-11
74,74.000000,4,9.201528e-13,1.922906e-13,3.069605e-16,-1.668258e-20,-2.543360e-11
75,75.000000,4,1.175948e-12,1.980638e-13,3.406977e-16,5.214547e-20,-6.726214e-11
76,76.000000,4,1.918465e-12,2.100542e-13,3.407147e-16,-1.011807e-20,2.066058e-11
77,77.000000,4,1.268319e-12,2.260414e-13,3.073593e-16,-1.352540e-19,-7.395784e-11
78,78.000000,4,1.470823e-12,2.211564e-13,3.407475e-16,2.117781e-19,4.934952e-11
79,79.000000,4,1.403322e-12,2.331468e-13,3.845243e-16,5.076904e-20,-3.173500e-11
80,80.000000,4,1.289635e-12,2.358114e-13,3.407786e-16,-5.178812e-20,-1.059663e-11
81,81.000000,4,1.147527e-12,2.540190e-13,3.848425e-16,-9.257144e-20,7.448464e-11
82,82.000000,4,1.495692e-12,2.540190e-13,3.408080e-16,3.758047e-20,2.679440e-11
83,83.000000,4,1.694644e-12,2.531308e-13,3.081282e-16,-1.497462e-19,7.051504e-11
84,84.000000,4,1.744382e-12,2.620126e-13,3.408174e-16,1.385031e-20,2.529654e-11
85,85.000000,4,1.094236e-12,2.762235e-13,3.083771e-16,-1.278557e-19,-1.150630e-11
86,86.000000,4,1.211475e-12,2.797762e-13,3.085002e-16,6.305763e-20,-2.713246e-11
87,87.000000,4,1.428191e-12,2.855494e-13,3.086225e-16,-1.408788e-19,1.878825e-11
88,88.000000,4,1.215028e-12,2.993161e-13,3.408869e-16,-1.116363e-20,1.847733e-11
89,89.000000,4,1.662670e-12,3.037570e-13,3.088645e-16,-8.126222e-21,-3.919853e-11
90,90.000000,4,1.257661e-12,2.970957e-13,3.862296e-16,-1.086584e-20,-5.745882e-11
91,91.000000,4,9.166001e-13,3.108624e-13,3.409214e-16,1.561055e-20,1.443357e-11
92,92.000000,4,9.912071e-13,3.166356e-13,3.092207e-16,-6.325616e-20,1.986089e-11
93,93.000000,4,1.008971e-12,3.219647e-13,3.409253e-16,-4.800295e-20,-1.366896e-10
94,94.000000,4,2.291500e-12,3.268497e-13,3.094543e-16,1.005785e-19,-1.007516e-11
95,95.000000,4,1.790568e-12,3.455014e-13,3.095698e-16,1.388340e-20,-7.897405e-12
96,96.000000,4,1.392664e-12,3.392842e-13,3.409547e-16,-1.492234e-20,-2.939426e-11
97,97.000000,4,1.399769e-12,3.494982e-13,3.097992e-16,4.807574e-20,-9.644763e-11
98,98.000000,4,1.314504e-12,3.619327e-13,3.409898e-16,7.987918e-20,-2.305905e-11
99,99.000000,4,1.634248e-12,3.570477e-13,3.100250e-16,-1.727153e-20,-1.399036e-11
100,100.000000,4,1.165290e-12,3.641532e-13,3.101370e-16,1.442603e-20,-3.860012e-11
101,101.000000,4,1.520561e-12,3.685940e-13,3.878090e-16,7.028388e-20,1.280322e-10
102,102.000000,4,9.592327e-13,3.792522e-13,3.103589e-16,-9.827567e-20,-4.892758e-11
103,103.000000,4,1.314504e-12,3.872458e-13,3.410291e-16,3.926130e-20,-1.435167e-10
104,104.000000,4,1.058709e-12,3.925749e-13,3.105776e-16,-5.929231e-20,1.540225e-10
105,105.000000,4,1.357137e-12,3.983480e-13,3.410426e-16,3.771944e-21,5.197981e-11
106,106.000000,4,1.485034e-12,4.027889e-13,3.107938e-16,-4.279502e-20,4.005413e-11
107,107.000000,4,1.527667e-12,4.134471e-13,3.109010e-16,-3.561509e-20,2.203848e-12
108,108.000000,4,1.396216e-12,4.152234e-13,3.110077e-16,2.384265e-20,-4.063261e-11
109,109.000000,4,1.097789e-12,4.236611e-13,3.410663e-16,-5.812764e-20,5.344758e-11
110,110.000000,4,1.804779e-12,4.285461e-13,3.410554e-16,4.662652e-20,3.901657e-11
111,111.000000,4,1.222134e-12,4.276579e-13,3.891514e-16,1.144752e-19,6.665724e-11
112,112.000000,4,1.289635e-12,4.316547e-13,3.892834e-16,-1.202257e-19,5.255874e-11
113,113.000000,4,1.975309e-12,4.400924e-13,3.894102e-16,7.259999e-20,-9.532591e-11
114,114.000000,4,1.151079e-12,4.414247e-13,3.410895e-16,4.008848e-20,-6.219497e-11
115,115.000000,4,1.296740e-12,4.596323e-13,3.117348e-16,-6.920524e-20,-5.163830e-11
116,116.000000,4,1.236344e-12,4.525269e-13,3.118365e-16,-1.004462e-19,2.764439e-11
117,117.000000,4,9.912071e-13,4.534151e-13,3.899185e-16,-8.690029e-20,3.246087e-11
118,118.000000,4,1.602274e-12,4.636291e-13,3.120375e-16,-3.617095e-20,1.202620e-10
119,119.000000,4,1.389111e-12,4.751755e-13,3.121375e-16,8.049460e-20,3.923550e-11
120,120.000000,4,1.872280e-12,4.676259e-13,3.411086e-16,-1.892523e-19,1.201239e-11
121,121.000000,4,1.534772e-12,4.565237e-13,3.123350e-16,-7.359922e-20,2.343681e-13
122,122.000000,4,1.321609e-12,4.556355e-13,3.410990e-16,-1.116760e-19,-3.629974e-11
123,123.000000,4,1.403322e-12,4.725109e-13,3.125277e-16,-6.387158e-20,1.709677e-11
124,124.000000,4,1.197265e-12,4.773959e-13,3.411203e-16,5.035876e-20,-3.176293e-11
125,125.000000,4,1.733724e-12,4.702905e-13,3.127246e-16,-1.391318e-19,-3.178457e-12
126,126.000000,4,1.517009e-12,4.747314e-13,3.128207e-16,2.382942e-20,-1.785827e-11
127,127.000000,4,1.037392e-12,4.742873e-13,3.129164e-16,7.633223e-20,-6.903311e-11
128,128.000000,4,1.186606e-12,4.680700e-13,3.411315e-16,4.295383e-20,4.250855e-11
129,129.000000,4,1.143974e-12,4.791723e-13,3.131071e-16,3.131375e-20,-2.680944e-11
130,130.000000,4,1.520561e-12,4.773959e-13,3.132015e-16,-1.027027e-20,-2.988876e-11
131,131.000000,4,1.183054e-12,4.805045e-13,3.132958e-16,1.423479e-19,-3.408429e-11
132,132.000000,4,1.382006e-12,4.742873e-13,3.133864e-16,4.750002e-20,-1.686518e-11
133,133.000000,4,1.012523e-12,4.836131e-13,3.411432e-16,1.218867e-19,-2.274669e-11
134,134.000000,4,1.016076e-12,4.884981e-13,3.411306e-16,3.103582e-20,4.206169e-11
135,135.000000,4,1.339373e-12,4.813927e-13,3.136688e-16,-8.210264e-20,-2.992850e-11
136,136.000000,4,1.101341e-12,4.827250e-13,3.137572e-16,-7.023094e-20,-1.536471e-11
137,137.000000,4,1.076472e-12,4.898304e-13,3.138525e-16,2.439190e-20,7.130951e-11
138,138.000000,4,1.286082e-12,4.947154e-13,3.411518e-16,1.026829e-19,-3.798706e-11
139,139.000000,4,1.218581e-12,4.938272e-13,3.140350e-16,1.005124e-19,1.699729e-11
140,140.000000,4,1.950440e-12,5.031531e-13,3.411544e-16,-1.135156e-19,-1.386214e-10
141,141.000000,4,1.538325e-12,4.902745e-13,3.142160e-16,-6.365982e-20,-4.195477e-11
142,142.000000,4,1.392664e-12,4.924949e-13,3.411564e-16,-1.014719e-19,7.363876e-11
143,143.000000,4,1.460165e-12,5.133671e-13,3.929891e-16,-7.223603e-20,7.839740e-11
144,144.000000,4,1.637801e-12,5.084821e-13,3.411579e-16,7.943581e-20,-4.771306e-11
145,145.000000,4,1.893596e-12,5.049294e-13,3.145692e-16,2.099054e-20,7.270939e-11
146,146.000000,4,9.556800e-13,5.213607e-13,3.146573e-16,4.914115e-20,-2.195732e-11
147,147.000000,4,1.335820e-12,5.160317e-13,3.411452e-16,2.290298e-20,-5.479028e-11
148,148.000000,4,1.385558e-12,5.182521e-13,3.148331e-16,-5.475936e-20,-6.727219e-11
149,149.000000,4,1.087130e-12,5.244694e-13,3.411593e-16,9.674704e-21,4.647283e-12
150,150.000000,4,1.318057e-12,5.258016e-13,3.937585e-16,-5.034552e-20,-1.303108e-10
151,151.000000,4,1.421085e-12,5.200285e-13,3.150976e-16,-2.068613e-20,1.888012e-11
152,152.000000,4,1.424638e-12,5.182521e-13,3.151837e-16,-1.266116e-19,-1.147837e-11
153,153.000000,4,1.474376e-12,5.266898e-13,3.411580e-16,4.256341e-20,2.340594e-11
154,154.000000,4,1.616485e-12,5.222489e-13,3.411574e-16,-1.525983e-20,-5.749246e-11
155,155.000000,4,1.747935e-12,5.342393e-13,3.154358e-16,-4.886983e-20,4.877898e-11
156,156.000000,4,1.563194e-12,5.297984e-13,3.411557e-16,-6.566491e-20,-4.372724e-12
157,157.000000,4,1.367795e-12,5.431211e-13,3.411546e-16,-1.277167e-20,-1.443867e-11
158,158.000000,4,1.744382e-12,5.395684e-13,3.156932e-16,4.356264e-20,5.657796e-11
159,159.000000,4,1.296740e-12,5.369039e-13,3.411387e-16,-1.301188e-19,5.689460e-11
160,160.000000,4,8.952838e-13,5.306866e-13,3.158554e-16,1.475690e-21,1.072920e-11
161,161.000000,4,1.477929e-12,5.329071e-13,3.411491e-16,5.755192e-20,-5.138856e-11
162,162.000000,4,1.602274e-12,5.377920e-13,3.160260e-16,1.109547e-19,3.987954e-11
163,163.000000,4,1.357137e-12,5.493384e-13,3.161081e-16,-7.263308e-20,-3.699485e-12
164,164.000000,4,1.264766e-12,5.555556e-13,3.161900e-16,1.414346e-19,-3.267764e-11
165,165.000000,4,1.328715e-12,5.520029e-13,3.162719e-16,-2.196992e-21,3.176670e-11
166,166.000000,4,1.360689e-12,5.537792e-13,3.411393e-16,9.282290e-20,1.329281e-11
167,167.000000,4,1.403322e-12,5.613288e-13,3.411370e-16,8.440551e-20,6.745127e-11
168,168.000000,4,1.342926e-12,5.626610e-13,3.165100e-16,-3.002335e-20,3.135725e-11
169,169.000000,4,1.445954e-12,5.666578e-13,3.165955e-16,8.165927e-20,-7.127499e-11
170,170.000000,4,1.325162e-12,5.684342e-13,3.166754e-16,-1.177773e-19,-2.539446e-11
171,171.000000,4,1.211475e-12,5.799805e-13,3.959375e-16,3.874514e-20,-5.423961e-11
172,172.000000,4,1.566747e-12,5.702105e-13,3.411105e-16,2.090451e-20,-8.532697e-11
173,173.000000,4,1.136868e-12,5.759837e-13,3.411075e-16,5.612255e-20,2.534595e-11
174,174.000000,4,1.236344e-12,5.582201e-13,3.169925e-16,-1.905824e-20,9.610146e-11
175,175.000000,4,1.588063e-12,5.737633e-13,3.411138e-16,1.114510e-19,-4.250544e-11
176,176.000000,4,8.988366e-13,5.706546e-13,3.411103e-16,1.350356e-19,-5.558609e-11
177,177.000000,4,1.122658e-12,5.804246e-13,3.411067e-16,6.623401e-20,4.249390e-11
178,178.000000,4,1.488587e-12,5.768719e-13,3.172994e-16,9.204204e-20,2.333633e-11
179,179.000000,4,1.136868e-12,5.884182e-13,3.967208e-16,-2.775356e-20,1.251221e-11
180,180.000000,4,1.332268e-12,5.804246e-13,3.410953e-16,7.142870e-20,-1.254150e-10
181,181.000000,4,1.509903e-12,5.799805e-13,3.175304e-16,-1.005719e-19,-1.831798e-10
182,182.000000,4,1.527667e-12,5.782042e-13,3.176122e-16,-3.441733e-20,-3.344836e-11
183,183.000000,4,1.474376e-12,5.768719e-13,3.176884e-16,1.258638e-20,-3.285372e-12
184,184.000000,4,1.449507e-12,5.728751e-13,3.177646e-16,4.589860e-20,6.971845e-11
185,185.000000,4,1.367795e-12,5.750955e-13,3.972931e-16,-4.910144e-21,-4.601020e-11
186,186.000000,4,1.310951e-12,5.733192e-13,3.179099e-16,-9.085752e-21,-9.824985e-11
187,187.000000,4,1.509903e-12,5.737633e-13,3.179908e-16,1.816489e-20,2.561273e-11
188,188.000000,4,1.584510e-12,5.715428e-13,3.180662e-16,4.611036e-20,-1.758432e-10
189,189.000000,4,2.028600e-12,5.679901e-13,3.976761e-16,-9.875213e-20,-8.834766e-11
190,190.000000,4,1.609379e-12,5.706546e-13,3.182154e-16,9.376258e-20,-8.610923e-11
191,191.000000,4,1.328715e-12,5.702105e-13,3.410592e-16,-6.783543e-20,6.540801e-11
192,192.000000,4,1.453060e-12,5.755396e-13,3.410438e-16,2.566907e-20,6.624545e-11
193,193.000000,4,1.296740e-12,5.750955e-13,3.184384e-16,1.568864e-19,1.121303e-11
194,194.000000,4,1.602274e-12,5.737633e-13,3.185122e-16,3.202843e-20,-3.962497e-11
195,195.000000,4,1.271871e-12,5.742073e-13,3.410461e-16,8.101738e-20,-2.741407e-11
196,196.000000,4,1.136868e-12,5.755396e-13,3.186598e-16,-8.528563e-20,-1.012608e-10
197,197.000000,4,1.413980e-12,5.782042e-13,3.187328e-16,-5.227781e-20,1.102621e-10
198,198.000000,4,1.353584e-12,5.813128e-13,3.410358e-16,4.006863e-20,1.005015e-10
199,199.000000,4,1.467271e-12,5.839773e-13,3.410323e-16,4.348323e-20,5.148637e-11
200,200.000000,4,1.314504e-12,5.857537e-13,3.410288e-16,1.153950e-19,-2.815859e-12
201,201.000000,4,1.723066e-12,5.764278e-13,3.190183e-16,-2.394853e-20,-5.281109e-11
202,202.000000,4,1.374900e-12,5.742073e-13,3.190962e-16,1.780093e-21,4.850886e-11
203,203.000000,4,1.165290e-12,5.786482e-13,3.410179e-16,1.904501e-20,-4.663547e-11
204,204.000000,4,1.286082e-12,5.795364e-13,3.192405e-16,8.662235e-21,-6.741718e-12
205,205.000000,4,1.641354e-12,5.759837e-13,3.410104e-16,2.739225e-19,-2.386047e-11
206,206.000000,4,1.058709e-12,5.835332e-13,3.193833e-16,1.258638e-20,1.900583e-10
207,207.000000,4,1.197265e-12,5.808687e-13,3.194547e-16,4.850587e-21,-6.113554e-12
208,208.000000,4,1.382006e-12,5.804246e-13,3.409871e-16,-5.063669e-20,1.168299e-11
209,209.000000,4,1.062261e-12,5.848655e-13,3.195968e-16,-2.224785e-20,1.226819e-11
210,210.000000,4,1.492140e-12,5.759837e-13,3.995769e-16,2.570877e-20,-5.581269e-11
211,211.000000,4,1.662670e-12,5.844214e-13,3.996723e-16,-6.274661e-20,-5.524914e-12
212,212.000000,4,1.257661e-12,5.706546e-13,3.997532e-16,2.541099e-21,-5.402900e-11
213,213.000000,4,1.737277e-12,5.973000e-13,3.198784e-16,4.579272e-21,-5.779910e-11
214,214.000000,4,1.229239e-12,5.817569e-13,3.409741e-16,9.410007e-21,-3.559064e-11
215,215.000000,4,1.971756e-12,5.981882e-13,3.200121e-16,4.204063e-20,7.311685e-11
216,216.000000,4,1.293188e-12,5.893064e-13,3.200817e-16,1.092011e-19,-2.899059e-11
217,217.000000,4,1.605827e-12,5.830891e-13,3.409496e-16,-4.100169e-20,-5.240353e-11
218,218.000000,4,1.694644e-12,5.893064e-13,3.202260e-16,1.078908e-19,5.379031e-12
219,219.000000,4,1.332268e-12,5.875300e-13,3.409521e-16,3.372250e-20,6.085454e-11
220,220.000000,4,1.374900e-12,5.822010e-13,3.409475e-16,5.682400e-20,-1.064542e-10
221,221.000000,4,1.222134e-12,5.906386e-13,3.204325e-16,-1.572967e-20,1.982103e-11
222,222.000000,4,1.467271e-12,5.875300e-13,3.205007e-16,-3.966496e-20,-6.814460e-11
223,223.000000,4,1.797673e-12,5.893064e-13,3.409335e-16,-6.671046e-20,1.989845e-10
224,224.000000,4,1.257661e-12,5.893064e-13,3.409287e-16,-1.277299e-19,-3.245382e-11
225,225.000000,4,1.822542e-12,5.813128e-13,3.207050e-16,-2.878589e-20,-3.000322e-11
226,226.000000,4,1.140421e-12,5.928591e-13,4.009579e-16,-3.044686e-20,5.407752e-11
227,227.000000,4,1.254108e-12,5.968559e-13,3.409139e-16,6.585681e-20,-5.190071e-12
228,228.000000,4,1.723066e-12,5.897505e-13,3.408977e-16,5.256898e-20,-5.101308e-11
229,229.000000,4,1.548983e-12,5.986323e-13,3.209682e-16,8.629148e-21,-5.796008e-11
230,230.000000,4,1.048051e-12,6.030731e-13,3.408987e-16,6.411642e-20,-2.856637e-11
231,231.000000,4,1.389111e-12,5.977441e-13,3.408935e-16,-1.447897e-20,-6.231615e-11
232,232.000000,4,1.438849e-12,6.079581e-13,3.211742e-16,1.326996e-19,2.270384e-11
233,233.000000,4,1.278977e-12,6.057377e-13,4.015509e-16,9.400742e-20,3.256684e-11
234,234.000000,4,1.314504e-12,5.995204e-13,3.213071e-16,1.144156e-20,-8.793821e-11
235,235.000000,4,1.616485e-12,5.986323e-13,4.017161e-16,-5.421011e-20,-4.101208e-11
236,236.000000,4,1.488587e-12,6.048495e-13,3.408556e-16,-3.843412e-20,2.648004e-11
237,237.000000,4,1.403322e-12,6.052936e-13,3.215043e-16,1.858840e-20,4.482603e-11
238,238.000000,4,1.175948e-12,5.955236e-13,3.215699e-16,-2.017394e-19,-4.931278e-12
239,239.000000,4,1.428191e-12,5.990763e-13,3.216351e-16,2.020968e-20,-1.039834e-10
240,240.000000,4,1.332268e-12,5.995204e-13,3.216937e-16,7.034344e-20,-5.464773e-11
241,241.000000,4,1.875833e-12,6.155076e-13,3.217650e-16,-6.444068e-20,-1.045884e-10
242,242.000000,4,1.168843e-12,6.346035e-13,3.218298e-16,5.558654e-20,7.592382e-11
243,243.000000,4,1.417533e-12,6.479262e-13,3.408197e-16,5.376674e-20,-6.555245e-11
244,244.000000,4,1.232792e-12,6.541434e-13,3.407992e-16,-1.441941e-20,-1.331868e-11
245,245.000000,4,1.438849e-12,6.559198e-13,3.220224e-16,-5.675782e-20,7.938095e-14
246,246.000000,4,1.243450e-12,6.683543e-13,3.407890e-16,8.625839e-20,-2.935185e-11
247,247.000000,4,1.101341e-12,6.843415e-13,3.221492e-16,-7.077357e-20,-4.738876e-12
248,248.000000,4,1.499245e-12,6.856737e-13,3.407662e-16,-5.039184e-20,-7.759993e-11
249,249.000000,4,7.887024e-13,6.949996e-13,3.407541e-16,-1.084732e-19,-3.426959e-11
250,250.000000,4,2.351896e-12,6.998846e-13,3.407417e-16,7.328158e-20,1.101099e-10
