step,time_s,picard_iterations,picard_delta_temperature_C,picard_delta_moisture_kgkg,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
1,0.500000,4,8.810730e-13,7.327472e-14,2.804164e-16,-3.151889e-20,-6.408108e-11
2,1.000000,4,6.110668e-13,2.029488e-13,2.811682e-16,-3.237254e-20,-2.526807e-11
3,1.500000,4,9.414691e-13,1.181277e-13,3.521562e-16,2.766754e-20,-1.364858e-11
4,2.000000,4,9.734435e-13,1.767475e-13,3.527104e-16,-1.199280e-19,8.529908e-11
5,2.500000,4,8.419931e-13,1.514344e-13,3.366334e-16,-1.293313e-19,8.187980e-11
6,3.000000,4,9.734435e-13,1.585398e-13,3.536395e-16,8.564297e-20,-6.600451e-11
7,3.500000,4,6.643575e-13,1.514344e-13,2.832371e-16,-5.446157e-20,-1.005725e-10
8,4.000000,4,5.151435e-13,1.385558e-13,2.835395e-16,-5.569242e-20,-8.276390e-11
9,4.500000,4,5.790923e-13,1.407763e-13,3.547797e-16,2.477505e-19,5.702579e-11
10,5.000000,4,7.425172e-13,1.350031e-13,3.551155e-16,5.125873e-20,-4.955760e-11
11,5.500000,4,9.627854e-13,1.363354e-13,2.843477e-16,-1.976631e-20,-3.516342e-11
12,6.000000,4,1.186606e-12,1.278977e-13,3.557193e-16,5.016685e-20,-9.521897e-12
13,6.500000,4,7.638334e-13,1.212364e-13,3.372616e-16,6.898686e-20,7.793863e-11
14,7.000000,4,1.094236e-12,1.243450e-13,3.563149e-16,-9.712424e-20,2.742339e-11
15,7.500000,4,5.719869e-13,1.194600e-13,2.852703e-16,1.326798e-19,-2.684131e-11
16,8.000000,4,9.166001e-13,1.132427e-13,3.374369e-16,-1.103790e-20,9.325735e-11
17,8.500000,4,9.698908e-13,1.167955e-13,2.856832e-16,3.368941e-20,6.121142e-11
18,9.000000,4,6.927792e-13,1.163514e-13,3.573363e-16,-7.443302e-20,3.478155e-11
19,9.500000,4,6.927792e-13,1.119105e-13,3.575934e-16,4.185534e-20,9.596976e-12
20,10.000000,4,5.933032e-13,1.127987e-13,3.578270e-16,-7.647119e-20,3.750875e-11
21,10.500000,4,6.643575e-13,1.034728e-13,3.580562e-16,1.737609e-19,4.962175e-11
22,11.000000,4,8.775203e-13,1.021405e-13,2.866240e-16,4.556773e-20,1.566976e-10
23,11.500000,4,7.993606e-13,1.016964e-13,2.867980e-16,-2.429264e-20,5.616647e-11
24,12.000000,4,9.627854e-13,9.814372e-14,3.587122e-16,1.206360e-20,2.686150e-11
25,12.500000,4,6.075140e-13,9.769963e-14,3.589208e-16,1.682022e-19,5.057316e-12
26,13.000000,4,9.272583e-13,9.681145e-14,3.591131e-16,2.602641e-20,-2.949985e-11
27,13.500000,4,1.332268e-12,9.059420e-14,3.593277e-16,4.738752e-20,-4.972657e-11
28,14.000000,4,5.933032e-13,9.281464e-14,3.595246e-16,4.738091e-20,1.404206e-11
29,14.500000,4,8.348877e-13,8.704149e-14,3.597199e-16,-1.227999e-19,6.867815e-11
30,15.000000,4,5.897505e-13,9.015011e-14,3.598975e-16,3.946644e-20,6.060537e-11
31,15.500000,4,7.673862e-13,8.659740e-14,3.381103e-16,1.287358e-19,6.093370e-11
32,16.000000,4,7.460699e-13,7.949197e-14,3.602816e-16,1.457029e-19,2.752991e-11
