task,parameter,value,status,run_file,termination_time_h,base_termination_time_h,diff_termination_h,max_abs_dT_C,max_abs_dC_kgkg,max_abs_table_dC_kgkg,max_picard_iterations,mean_picard_iterations,runtime_s
1,dr_m,0.000025,ok,task1-dr_m-0.000025.csv,,,,3.6807885912537586e-06,5.562002850290071e-05,,4,4.0,5.596
1,dr_m,0.00005,ok,task1-dr_m-0.00005.csv,,,,0.0,0.0,,,,0.0
1,dr_m,0.0001,ok,task1-dr_m-0.0001.csv,,,,1.47226587507987e-05,0.00022302286180142517,,4,3.0243055555555554,3.802
1,dt_s,0.125,ok,task1-dt_s-0.125.csv,,,,3.7024889820713724e-08,4.8603186808549026e-08,,4,3.0029166666666667,7.704
1,dt_s,0.25,ok,task1-dt_s-0.25.csv,,,,0.0,0.0,,,,0.0
1,dt_s,0.5,ok,task1-dt_s-0.5.csv,,,,1.4745964094231567e-07,1.9440744569720891e-07,,4,4.0,2.578
1,linear_residual_tol,1e-08,ok,task1-linear_residual_tol-1e-08.csv,,,,0.0,0.0,,4,3.3804166666666666,4.082
1,linear_residual_tol,1e-10,ok,task1-linear_residual_tol-1e-10.csv,,,,0.0,0.0,,,,0.0
1,linear_residual_tol,1e-12,ok,task1-linear_residual_tol-1e-12.csv,,,,0.0,0.0,,4,3.3804166666666666,4.065
1,picard_tol_C,1e-08,ok,task1-picard_tol_C-1e-08.csv,,,,0.0,1.865174681370263e-14,,3,3.0,3.743
1,picard_tol_C,1e-10,ok,task1-picard_tol_C-1e-10.csv,,,,0.0,0.0,,,,0.0
1,picard_tol_C,1e-12,ok,task1-picard_tol_C-1e-12.csv,,,,0.0,3.907985046680551e-14,,4,4.0,4.754
2,dr_m,0.00000625,ok,task2-dr_m-0.00000625.csv,,,,1.2691324968727713e-07,1.1675546041090001e-07,,4,3.740648148148148,20.824
2,dr_m,0.0000125,ok,task2-dr_m-0.0000125.csv,,,,0.0,0.0,,,,0.0
2,dr_m,0.000025,ok,task2-dr_m-0.000025.csv,,,,5.145807762119148e-07,4.670196442901897e-07,,4,3.7356481481481483,11.988
2,picard_tol_C,1e-08,ok,task2-picard_tol_C-1e-08.csv,,,,1.1731060567399254e-11,9.903189379656396e-14,,3,3.0,11.572
2,picard_tol_C,1e-10,ok,task2-picard_tol_C-1e-10.csv,,,,0.0,0.0,,,,0.0
2,picard_tol_C,1e-12,ok,task2-picard_tol_C-1e-12.csv,,,,1.1780798558902461e-11,2.142730437526552e-13,,5,4.002592592592593,15.111
2,picard_tol_T,1e-06,ok,task2-picard_tol_T-1e-06.csv,,,,0.0,0.0,,4,3.7396296296296296,14.428
2,picard_tol_T,1e-08,ok,task2-picard_tol_T-1e-08.csv,,,,0.0,0.0,,,,0.0
2,picard_tol_T,1e-10,ok,task2-picard_tol_T-1e-10.csv,,,,0.0,0.0,,4,3.7396296296296296,14.377
2,time_step_s,0.25,ok,task2-time_step_s-0.25.csv,,,,5.687411359645012e-07,1.1649802900137729e-08,,4,3.2237962962962965,49.424
2,time_step_s,0.5,ok,task2-time_step_s-0.5.csv,,,,4.534421833568558e-07,9.319883309544252e-09,,4,3.4735185185185187,27.877
2,time_step_s,1,ok,task2-time_step_s-1.csv,,,,0.0,0.0,,,,0.0
