task,parameter,value,status,run_file,termination_time_h,base_termination_time_h,diff_termination_h,max_abs_dT_C,max_abs_dC_kgkg,max_abs_table_dC_kgkg,max_picard_iterations,mean_picard_iterations,runtime_s
1,dr_m,0.000025,ok,task1-dr_m-0.000025.csv,,,,3.6807885912537586e-06,5.562002850290071e-05,,4,4.0,5.596
1,dr_m,0.00005,ok,task1-dr_m-0.00005.csv,,,,0.0,0.0,,,,0.0
1,dr_m,0.0001,ok,task1-dr_m-0.0001.csv,,,,1.47226587507987e-05,0.00022302286180142517,,4,3.0243055555555554,3.802
1,dt_s,0.125,ok,task1-dt_s-0.125.csv,,,,3.7024889820713724e-08,4.8603186808549026e-08,,4,3.0029166666666667,7.704
1,dt_s,0.25,ok,task1-dt_s-0.25.csv,,,,0.0,0.0,,,,0.0
1,dt_s,0.5,ok,task1-dt_s-0.5.csv,,,,1.4745964094231567e-07,1.9440744569720891e-07,,4,4.0,2.578
1,linear_residual_tol,1e-08,ok,task1-linear_residual_tol-1e-08.csv,,,,0.0,0.0,,4,3.3804166666666666,4.082
1,linear_residual_tol,1e-10,ok,task1-linear_residual_tol-1e-10.csv,,,,0.0,0.0,,,,0.0
1,linear_residual_tol,1e-12,ok,task1-linear_residual_tol-1e-12.csv,,,,0.0,0.0,,4,3.3804166666666666,4.065
1,picard_tol_C,1e-08,ok,task1-picard_tol_C-1e-08.csv,,,,0.0,1.865174681370263e-14,,3,3.0,3.743
1,picard_tol_C,1e-10,ok,task1-picard_tol_C-1e-10.csv,,,,0.0,0.0,,,,0.0
1,picard_tol_C,1e-12,ok,task1-picard_tol_C-1e-12.csv,,,,0.0,3.907985046680551e-14,,4,4.0,4.754
2,dr_m,0.00000625,ok,task2-dr_m-0.00000625.csv,,,,1.2691324968727713e-07,1.1675546041090001e-07,,4,3.740648148148148,20.824
2,dr_m,0.0000125,ok,task2-dr_m-0.0000125.csv,,,,0.0,0.0,,,,0.0
2,dr_m,0.000025,ok,task2-dr_m-0.000025.csv,,,,5.145807762119148e-07,4.670196442901897e-07,,4,3.7356481481481483,11.988
2,picard_tol_C,1e-08,ok,task2-picard_tol_C-1e-08.csv,,,,1.1731060567399254e-11,9.903189379656396e-14,,3,3.0,11.572
2,picard_tol_C,1e-10,ok,task2-picard_tol_C-1e-10.csv,,,,0.0,0.0,,,,0.0
2,picard_tol_C,1e-12,ok,task2-picard_tol_C-1e-12.csv,,,,1.1780798558902461e-11,2.142730437526552e-13,,5,4.002592592592593,15.111
2,picard_tol_T,1e-06,ok,task2-picard_tol_T-1e-06.csv,,,,0.0,0.0,,4,3.7396296296296296,14.428
2,picard_tol_T,1e-08,ok,task2-picard_tol_T-1e-08.csv,,,,0.0,0.0,,,,0.0
2,picard_tol_T,1e-10,ok,task2-picard_tol_T-1e-10.csv,,,,0.0,0.0,,4,3.7396296296296296,14.377
2,time_step_s,0.25,ok,task2-time_step_s-0.25.csv,,,,5.687411359645012e-07,1.1649802900137729e-08,,4,3.2237962962962965,49.424
2,time_step_s,0.5,ok,task2-time_step_s-0.5.csv,,,,4.534421833568558e-07,9.319883309544252e-09,,4,3.4735185185185187,27.877
2,time_step_s,1,ok,task2-time_step_s-1.csv,,,,0.0,0.0,,,,0.0
3,STABLE_START_S,10800,ok,task3-STABLE_START_S-10800.csv,57.48278387793352,57.471919565947765,0.010864311985756103,,,5.000466597504527e-05,7,5.051048909490699,42.455
3,STABLE_START_S,7200,ok,task3-STABLE_START_S-7200.csv,57.536176798251944,57.471919565947765,0.06425723230417901,,,0.00029184435046203383,7,5.058799073469145,42.576
3,STABLE_START_S,9000,ok,task3-STABLE_START_S-9000.csv,57.471919565947765,57.471919565947765,0.0,,,0.0,,,0.0
3,TIME_STEP_EARLY_S,0.5,ok,task3-TIME_STEP_EARLY_S-0.5.csv,57.47191956678902,57.471919565947765,8.412541774305282e-10,,,1.4712164819741247e-10,7,4.431675338189386,53.781
3,TIME_STEP_EARLY_S,1,ok,task3-TIME_STEP_EARLY_S-1.csv,57.471919565947765,57.471919565947765,0.0,,,0.0,,,0.0
3,TIME_STEP_EARLY_S,2,ok,task3-TIME_STEP_EARLY_S-2.csv,57.47191956256829,57.471919565947765,-3.379476254394831e-09,,,5.856612972365838e-10,7,5.463894139886579,36.219
3,n_intervals,1600,ok,task3-n_intervals-1600.csv,57.471919565947765,57.471919565947765,0.0,,,0.0,,,0.0
3,n_intervals,200,ok,task3-n_intervals-200.csv,58.94495310592208,57.471919565947765,1.4730335399743169,,,0.003017393016799985,7,4.438723267312249,20.829
3,n_intervals,400,ok,task3-n_intervals-400.csv,57.6778896364653,57.471919565947765,0.20597007051753735,,,0.00043670772131429447,7,4.775715344699778,24.119
3,n_intervals,800,ok,task3-n_intervals-800.csv,57.503132355036904,57.471919565947765,0.031212789089138937,,,6.516863271716078e-05,8,5.0346087576495755,31.381
3,picard_tol,loosen100x,ok,task3-picard_tol-loosen100x.csv,57.47191956369434,57.471919565947765,-2.2534223376169393e-09,,,1.1536160915426308e-11,5,3.680267459138187,31.783
3,picard_tol,tighten100x,ok,task3-picard_tol-tighten100x.csv,57.471919565959375,57.471919565947765,1.1610268302320037e-11,,,2.1671553440683056e-13,9,6.135869242199108,51.576
3,time_step_long_s,10,ok,task3-time_step_long_s-10.csv,57.471919565947765,57.471919565947765,0.0,,,0.0,,,0.0
3,time_step_long_s,20,ok,task3-time_step_long_s-20.csv,57.47191810421712,57.471919565947765,-1.4617306476338854e-06,,,5.972922534347447e-08,8,4.946389177939646,29.862
3,time_step_long_s,5,ok,task3-time_step_long_s-5.csv,57.47191992789559,57.471919565947765,3.61947826377218e-07,,,1.3968977308209674e-08,6,4.8252173913043475,64.512
4,STABLE_START_S,10800,ok,task4-STABLE_START_S-10800.csv,51.096918402777774,51.08743489583333,0.009483506944441444,,,0.00011780693200214021,5,4.420057959014697,53.34
4,STABLE_START_S,7200,ok,task4-STABLE_START_S-7200.csv,51.143055555555556,51.08743489583333,0.055620659722222854,,,0.0006867776985003404,5,4.421819084458971,53.262
4,STABLE_START_S,9000,ok,task4-STABLE_START_S-9000.csv,51.08743489583333,51.08743489583333,0.0,,,0.0,,,0.0
4,event_tol_s,0.01,ok,task4-event_tol_s-0.01.csv,51.08741590711806,51.08743489583333,-1.89887152757251e-05,,,0.0,5,4.419994617311554,53.111
4,event_tol_s,0.1,ok,task4-event_tol_s-0.1.csv,51.08743489583333,51.08743489583333,0.0,,,0.0,,,0.0
4,event_tol_s,1,ok,task4-event_tol_s-1.csv,51.0875,51.08743489583333,6.510416666571928e-05,,,0.0,5,4.419994617311554,53.173
4,n_intervals,1600,ok,task4-n_intervals-1600.csv,51.083745659722226,51.08743489583333,-0.0036892361111071637,,,1.6017167938364718e-05,6,4.522639282830583,69.197
4,n_intervals,400,ok,task4-n_intervals-400.csv,51.10251736111111,51.08743489583333,0.015082465277778567,,,6.564230638542168e-05,5,4.353458624829242,44.068
4,n_intervals,800,ok,task4-n_intervals-800.csv,51.08743489583333,51.08743489583333,0.0,,,0.0,,,0.0
4,picard_tol,loosen100x,ok,task4-picard_tol-loosen100x.csv,51.08743489583333,51.08743489583333,0.0,,,1.850131159386592e-11,4,3.3784237003912803,42.104
4,picard_tol,tighten100x,ok,task4-picard_tol-tighten100x.csv,51.08743489583333,51.08743489583333,0.0,,,9.142686607788164e-14,7,5.533300209096743,61.251
4,time_step_early_s,0.5,ok,task4-time_step_early_s-0.5.csv,51.08743489583333,51.08743489583333,0.0,,,2.017590539082903e-10,5,4.1870883370811605,66.334
4,time_step_early_s,1,ok,task4-time_step_early_s-1.csv,51.08743489583333,51.08743489583333,0.0,,,0.0,,,0.0
4,time_step_early_s,2,ok,task4-time_step_early_s-2.csv,51.08743489583333,51.08743489583333,0.0,,,8.06882782811158e-10,5,4.521981363890713,46.106
4,time_step_long_s,10,ok,task4-time_step_long_s-10.csv,51.08743489583333,51.08743489583333,0.0,,,1.1496609553240944e-08,6,4.670036999234498,36.588
4,time_step_long_s,2.5,ok,task4-time_step_long_s-2.5.csv,51.08743489583333,51.08743489583333,0.0,,,2.874250948359247e-09,5,4.215239763520911,86.917
4,time_step_long_s,5,ok,task4-time_step_long_s-5.csv,51.08743489583333,51.08743489583333,0.0,,,0.0,,,0.0
