task,parameter,value,time_s,radius_cm,temperature_C,moisture_kgkg,base_temperature_C,base_moisture_kgkg,abs_dT_C,abs_dC_kgkg
1,atol,1e-08,100,0.0,28.00005349,2.55,28.00005349,2.55,8.341114466e-09,0
1,atol,1e-08,100,0.5,28.00034789,2.55,28.00034788,2.55,7.01090741e-09,0
1,atol,1e-08,100,1.0,28.00404683,2.55,28.00404684,2.55,7.041613515e-09,0
1,atol,1e-08,100,1.5,28.03270052,2.54999994,28.03270063,2.54999994,1.106481271e-07,7.921396872e-11
1,atol,1e-08,100,2.0,28.18004788,2.247511435,28.18004776,2.247511329,1.245368537e-07,1.063473944e-07
1,atol,1e-08,300,0.0,28.04079675,2.55,28.04079694,2.55,1.891523347e-07,0
1,atol,1e-08,300,0.5,28.06349229,2.55,28.06349263,2.55,3.425624122e-07,0
1,atol,1e-08,300,1.0,28.15139578,2.549999999,28.15139665,2.549999999,8.697220153e-07,6.661338148e-14
1,atol,1e-08,300,1.5,28.36806132,2.549189033,28.36806285,2.549189033,1.52444305e-06,9.404965695e-11
1,atol,1e-08,300,2.0,28.84881676,2.051044461,28.84881558,2.051044463,1.182567249e-06,1.890099632e-09
1,atol,1e-08,600,0.0,28.45333508,2.55,28.45333609,2.55,1.012800219e-06,4.440892099e-16
1,atol,1e-08,600,0.5,28.53603409,2.55,28.53603512,2.55,1.037057856e-06,1.376676551e-14
1,atol,1e-08,600,1.0,28.80394251,2.549988272,28.80394358,2.549988272,1.069023259e-06,1.494537827e-11
1,atol,1e-08,600,1.5,29.31590606,2.535259358,29.31590708,2.535259358,1.021126341e-06,1.091047253e-10
1,atol,1e-08,600,2.0,30.16521176,1.877073612,30.16521491,1.877073612,3.15274503e-06,1.55941926e-12
1,atol,1e-08,900,0.0,29.32429741,2.55,29.32429849,2.55,1.08447118e-06,4.884981308e-15
1,atol,1e-08,900,0.5,29.45825213,2.549999787,29.45825325,2.549999787,1.124573149e-06,1.196820421e-12
1,atol,1e-08,900,1.0,29.87545126,2.549681191,29.87545246,2.549681191,1.200657717e-06,1.910027692e-12
1,atol,1e-08,900,1.5,30.61613371,2.504537433,30.6161349,2.504537433,1.188119246e-06,8.866329892e-11
1,atol,1e-08,900,2.0,31.7303927,1.75478511,31.73040903,1.754785105,1.633211913e-05,5.280147652e-09
1,atol,1e-08,1200,0.0,30.5427196,2.549999979,30.54272104,2.549999979,1.437600503e-06,4.618527782e-14
1,atol,1e-08,1200,0.5,30.70976848,2.549992853,30.70976984,2.549992853,1.36070366e-06,1.040945108e-12
1,atol,1e-08,1200,1.0,31.22234585,2.548174181,31.22234702,2.548174181,1.175421307e-06,1.260902494e-11
1,atol,1e-08,1200,1.5,32.11255163,2.464572387,32.11255291,2.464572387,1.280338289e-06,6.066258607e-11
1,atol,1e-08,1200,2.0,33.42761474,1.658607496,33.4276214,1.658607497,6.65612221e-06,1.086322143e-09
1,atol,1e-08,1500,0.0,31.99571915,2.54999929,31.99572032,2.54999929,1.164350827e-06,4.862776848e-13
1,atol,1e-08,1500,0.5,32.18673215,2.549937227,32.1867334,2.549937227,1.242983878e-06,2.758238082e-12
1,atol,1e-08,1500,1.0,32.76601672,2.544532432,32.76601828,2.544532432,1.564317301e-06,1.426281315e-11
1,atol,1e-08,1500,1.5,33.74627122,2.420620206,33.74627302,2.420620206,1.803257241e-06,4.743361259e-11
1,atol,1e-08,1500,2.0,35.12026627,1.578759549,35.12026664,1.578759557,3.757209726e-07,8.288455255e-09
1,atol,1e-08,1800,0.0,33.57534124,2.549992274,33.57534276,2.549992274,1.517026497e-06,4.358291505e-12
1,atol,1e-08,1800,0.5,33.77199848,2.549722365,33.77199996,2.549722365,1.485063436e-06,1.911981684e-11
1,atol,1e-08,1800,1.0,34.36415758,2.538289537,34.36415896,2.538289537,1.38154936e-06,2.24593677e-11
1,atol,1e-08,1800,1.5,35.3621197,2.375483693,35.36212092,2.375483694,1.221017627e-06,2.232729557e-10
1,atol,1e-08,1800,2.0,36.78555543,1.510261616,36.78555638,1.510261619,9.569937376e-07,3.555711503e-09
