task,parameter,value,time_s,radius_cm,temperature_C,moisture_kgkg,base_temperature_C,base_moisture_kgkg,abs_dT_C,abs_dC_kgkg
1,dt_s,0.125,100,0.0,28.00005333,2.55,28.00005334,2.55,5.793303615e-09,4.440892099e-16
1,dt_s,0.125,100,0.5,28.00034748,2.55,28.00034749,2.55,1.09338778e-08,4.440892099e-16
1,dt_s,0.125,100,1.0,28.00404585,2.55,28.00404587,2.55,1.719697806e-08,4.440892099e-16
1,dt_s,0.125,100,1.5,28.03270228,2.549999956,28.03270227,2.549999956,5.430919714e-09,2.823474787e-11
1,dt_s,0.125,100,2.0,28.18006762,2.24711933,28.18006758,2.247119282,3.702488982e-08,4.860318681e-08
1,dt_s,0.125,300,0.0,28.04079222,2.55,28.04079224,2.55,1.106428016e-08,0
1,dt_s,0.125,300,0.5,28.0634888,2.55,28.0634888,2.55,6.672912889e-09,4.440892099e-16
1,dt_s,0.125,300,1.0,28.15139609,2.549999999,28.1513961,2.549999999,6.347359971e-09,1.860733789e-13
1,dt_s,0.125,300,1.5,28.368069,2.549198136,28.36806899,2.549198135,7.246573119e-09,9.86376314e-10
1,dt_s,0.125,300,2.0,28.84884907,2.050869467,28.84884904,2.050869458,3.394802306e-08,9.151096769e-09
1,dt_s,0.125,600,0.0,28.45333073,2.55,28.45333072,2.55,9.644566035e-09,0
1,dt_s,0.125,600,0.5,28.53603136,2.55,28.53603135,2.55,7.861885365e-09,2.664535259e-14
1,dt_s,0.125,600,1.0,28.80394413,2.549988562,28.80394412,2.549988562,8.529305262e-09,5.428324457e-11
1,dt_s,0.125,600,1.5,29.31591477,2.535273698,29.31591476,2.535273698,1.087101609e-08,8.670535401e-10
1,dt_s,0.125,600,2.0,30.16522569,1.876979237,30.16522568,1.876979234,4.829701084e-09,3.09096948e-09
1,dt_s,0.125,900,0.0,29.32429489,2.55,29.32429488,2.55,1.572437114e-08,2.176037128e-14
1,dt_s,0.125,900,0.5,29.45825098,2.549999795,29.45825096,2.549999795,1.638726488e-08,1.667110894e-12
1,dt_s,0.125,900,1.0,29.87545397,2.549683491,29.87545396,2.549683491,1.390531779e-08,1.469109279e-10
1,dt_s,0.125,900,1.5,30.61614117,2.50454278,30.61614116,2.504542781,5.87719029e-09,1.059626165e-09
1,dt_s,0.125,900,2.0,31.73039849,1.754723647,31.73039848,1.754723646,2.539863431e-09,1.596486277e-09
1,dt_s,0.125,1200,0.0,30.54271919,2.54999998,30.54271918,2.54999998,1.015265028e-08,2.176037128e-13
1,dt_s,0.125,1200,0.5,30.70976876,2.549992968,30.70976875,2.549992968,1.195015642e-08,1.237854264e-11
1,dt_s,0.125,1200,1.0,31.22234856,2.548179541,31.22234855,2.54817954,1.179337161e-08,1.193591892e-10
1,dt_s,0.125,1200,1.5,32.11255808,2.464569533,32.11255807,2.464569534,7.325525075e-09,8.263962847e-10
1,dt_s,0.125,1200,2.0,33.42763397,1.658564332,33.42763397,1.658564331,7.653184753e-09,9.882585861e-10
1,dt_s,0.125,1500,0.0,31.99572001,2.549999307,31.99571999,2.549999307,1.395477867e-08,2.193800697e-12
1,dt_s,0.125,1500,0.5,32.18673378,2.549937744,32.18673376,2.549937744,1.506527525e-08,3.205213872e-11
1,dt_s,0.125,1500,1.0,32.76602052,2.544540291,32.7660205,2.544540291,1.770617075e-08,2.732658544e-11
1,dt_s,0.125,1500,1.5,33.74627693,2.420611959,33.74627692,2.420611959,6.133049624e-09,6.005111963e-10
1,dt_s,0.125,1500,2.0,35.12026179,1.578727859,35.1202618,1.578727859,1.123850524e-08,6.654639062e-10
1,dt_s,0.125,1800,0.0,33.57534445,2.549992383,33.57534445,2.549992383,4.998703673e-09,8.876011037e-12
1,dt_s,0.125,1800,0.5,33.77200157,2.549723684,33.77200156,2.549723683,3.582663055e-09,4.965361455e-11
1,dt_s,0.125,1800,1.0,34.36416045,2.538298799,34.36416045,2.538298799,7.656588252e-09,6.235900685e-11
1,dt_s,0.125,1800,1.5,35.36212402,2.375472219,35.36212401,2.37547222,1.046279863e-08,4.357749717e-10
1,dt_s,0.125,1800,2.0,36.78555967,1.5102379,36.78555967,1.510237899,5.331983743e-10,4.764748596e-10
