task,parameter,value,time_s,radius_cm,temperature_C,moisture_kgkg,base_temperature_C,base_moisture_kgkg,abs_dT_C,abs_dC_kgkg
1,max_step_s,30,100,0.0,28.00005349,2.55,28.00005349,2.55,0,0
1,max_step_s,30,100,0.5,28.00034788,2.55,28.00034788,2.55,0,0
1,max_step_s,30,100,1.0,28.00404684,2.55,28.00404684,2.55,0,0
1,max_step_s,30,100,1.5,28.03270063,2.54999994,28.03270063,2.54999994,0,0
1,max_step_s,30,100,2.0,28.18004776,2.247511329,28.18004776,2.247511329,0,0
1,max_step_s,30,300,0.0,28.04079694,2.55,28.04079694,2.55,0,0
1,max_step_s,30,300,0.5,28.06349263,2.55,28.06349263,2.55,0,0
1,max_step_s,30,300,1.0,28.15139665,2.549999999,28.15139665,2.549999999,0,0
1,max_step_s,30,300,1.5,28.36806285,2.549189033,28.36806285,2.549189033,0,0
1,max_step_s,30,300,2.0,28.84881558,2.051044463,28.84881558,2.051044463,0,0
1,max_step_s,30,600,0.0,28.45333609,2.55,28.45333609,2.55,0,0
1,max_step_s,30,600,0.5,28.53603512,2.55,28.53603512,2.55,0,0
1,max_step_s,30,600,1.0,28.80394358,2.549988272,28.80394358,2.549988272,0,0
1,max_step_s,30,600,1.5,29.31590708,2.535259358,29.31590708,2.535259358,0,0
1,max_step_s,30,600,2.0,30.16521491,1.877073612,30.16521491,1.877073612,0,0
1,max_step_s,30,900,0.0,29.32429849,2.55,29.32429849,2.55,0,0
1,max_step_s,30,900,0.5,29.45825325,2.549999787,29.45825325,2.549999787,0,0
1,max_step_s,30,900,1.0,29.87545246,2.549681191,29.87545246,2.549681191,0,0
1,max_step_s,30,900,1.5,30.6161349,2.504537433,30.6161349,2.504537433,0,0
1,max_step_s,30,900,2.0,31.73040903,1.754785105,31.73040903,1.754785105,0,0
1,max_step_s,30,1200,0.0,30.54272104,2.549999979,30.54272104,2.549999979,0,0
1,max_step_s,30,1200,0.5,30.70976984,2.549992853,30.70976984,2.549992853,0,0
1,max_step_s,30,1200,1.0,31.22234702,2.548174181,31.22234702,2.548174181,0,0
1,max_step_s,30,1200,1.5,32.11255291,2.464572387,32.11255291,2.464572387,0,0
1,max_step_s,30,1200,2.0,33.4276214,1.658607497,33.4276214,1.658607497,0,0
1,max_step_s,30,1500,0.0,31.99572032,2.54999929,31.99572032,2.54999929,0,0
1,max_step_s,30,1500,0.5,32.1867334,2.549937227,32.1867334,2.549937227,0,0
1,max_step_s,30,1500,1.0,32.76601828,2.544532432,32.76601828,2.544532432,0,0
1,max_step_s,30,1500,1.5,33.74627302,2.420620206,33.74627302,2.420620206,0,0
1,max_step_s,30,1500,2.0,35.12026664,1.578759557,35.12026664,1.578759557,0,0
1,max_step_s,30,1800,0.0,33.57534276,2.549992274,33.57534276,2.549992274,0,0
1,max_step_s,30,1800,0.5,33.77199996,2.549722365,33.77199996,2.549722365,0,0
1,max_step_s,30,1800,1.0,34.36415896,2.538289537,34.36415896,2.538289537,0,0
1,max_step_s,30,1800,1.5,35.36212092,2.375483694,35.36212092,2.375483694,0,0
1,max_step_s,30,1800,2.0,36.78555638,1.510261619,36.78555638,1.510261619,0,0
