task,parameter,value,time_s,radius_cm,temperature_C,moisture_kgkg,base_temperature_C,base_moisture_kgkg,abs_dT_C,abs_dC_kgkg
1,rtol,1e-06,100,0.0,28.00005383,2.55,28.00005349,2.55,3.455643558e-07,0
1,rtol,1e-06,100,0.5,28.000348,2.55,28.00034788,2.55,1.175010631e-07,0
1,rtol,1e-06,100,1.0,28.00404825,2.55,28.00404684,2.55,1.41612734e-06,0
1,rtol,1e-06,100,1.5,28.032694,2.549999933,28.03270063,2.54999994,6.628232523e-06,7.034910876e-09
1,rtol,1e-06,100,2.0,28.18007898,2.247512766,28.18004776,2.247511329,3.122154814e-05,1.437430283e-06
1,rtol,1e-06,300,0.0,28.04079204,2.55,28.04079694,2.55,4.906144362e-06,0
1,rtol,1e-06,300,0.5,28.06349374,2.55,28.06349263,2.55,1.10825793e-06,0
1,rtol,1e-06,300,1.0,28.15142233,2.549999999,28.15139665,2.549999999,2.567942285e-05,1.524118609e-10
1,rtol,1e-06,300,1.5,28.3681169,2.549189225,28.36806285,2.549189033,5.405236731e-05,1.916715022e-07
1,rtol,1e-06,300,2.0,28.848433,2.051046156,28.84881558,2.051044463,0.0003825776386,1.693430584e-06
1,rtol,1e-06,600,0.0,28.4533559,2.55,28.45333609,2.55,1.981178498e-05,1.33226763e-15
1,rtol,1e-06,600,0.5,28.53605078,2.55,28.53603512,2.55,1.565429794e-05,2.277733557e-11
1,rtol,1e-06,600,1.0,28.80394683,2.549988209,28.80394358,2.549988272,3.244924613e-06,6.31086654e-08
1,rtol,1e-06,600,1.5,29.31593552,2.535260182,29.31590708,2.535259358,2.84441556e-05,8.236791103e-07
1,rtol,1e-06,600,2.0,30.16538741,1.877070332,30.16521491,1.877073612,0.0001724956929,3.279394543e-06
1,rtol,1e-06,900,0.0,29.32426958,2.55,29.32429849,2.55,2.891107459e-05,4.399591802e-12
1,rtol,1e-06,900,0.5,29.45822229,2.549999785,29.45825325,2.549999787,3.095853054e-05,2.208579097e-09
1,rtol,1e-06,900,1.0,29.87543886,2.549681029,29.87545246,2.549681191,1.360288417e-05,1.625210002e-07
1,rtol,1e-06,900,1.5,30.61615882,2.504538402,30.6161349,2.504537433,2.392086243e-05,9.683502307e-07
1,rtol,1e-06,900,2.0,31.73103019,1.754782986,31.73040903,1.754785105,0.0006211664056,2.118777342e-06
1,rtol,1e-06,1200,0.0,30.54276266,2.549999979,30.54272104,2.549999979,4.161735518e-05,2.727316151e-10
1,rtol,1e-06,1200,0.5,30.7098188,2.549992838,30.70976984,2.549992853,4.896789793e-05,1.445607811e-08
1,rtol,1e-06,1200,1.0,31.222423,2.548174052,31.22234702,2.548174181,7.59799815e-05,1.293817276e-07
1,rtol,1e-06,1200,1.5,32.11261012,2.464573085,32.11255291,2.464572387,5.720914335e-05,6.981002145e-07
1,rtol,1e-06,1200,2.0,33.42690371,1.658605709,33.4276214,1.658607497,0.0007176862806,1.788067716e-06
1,rtol,1e-06,1500,0.0,31.99571194,2.549999286,31.99572032,2.54999929,8.37672475e-06,3.432009787e-09
1,rtol,1e-06,1500,0.5,32.18671615,2.549937179,32.1867334,2.549937227,1.724268172e-05,4.741670478e-08
1,rtol,1e-06,1500,1.0,32.76597535,2.544532375,32.76601828,2.544532432,4.293572029e-05,5.692424532e-08
1,rtol,1e-06,1500,1.5,33.7462342,2.420620825,33.74627302,2.420620206,3.882242638e-05,6.190005899e-07
1,rtol,1e-06,1500,2.0,35.12110081,1.578758454,35.12026664,1.578759557,0.0008341709294,1.103509301e-06
1,rtol,1e-06,1800,0.0,33.57536364,2.549992261,33.57534276,2.549992274,2.088559398e-05,1.33262148e-08
1,rtol,1e-06,1800,0.5,33.77202538,2.549722292,33.77199996,2.549722365,2.541376397e-05,7.221963605e-08
1,rtol,1e-06,1800,1.0,34.36415108,2.538289591,34.36415896,2.538289537,7.874764201e-06,5.440809092e-08
1,rtol,1e-06,1800,1.5,35.36204098,2.375484087,35.36212092,2.375483694,7.994074148e-05,3.936134174e-07
1,rtol,1e-06,1800,2.0,36.78549281,1.510260773,36.78555638,1.510261619,6.357626865e-05,8.466548269e-07
