task,parameter,value,time_s,radius_cm,temperature_C,moisture_kgkg,base_temperature_C,base_moisture_kgkg,abs_dT_C,abs_dC_kgkg
2,dr_m,0.0001,1800,0.0,32.18998378,2.549932931,32.189983,2.549933221,7.804697191e-07,2.892343756e-07
2,dr_m,0.0001,1800,0.5,32.3828362,2.548876872,32.3828355,2.548878466,6.91986628e-07,1.594172332e-06
2,dr_m,0.0001,1800,1.0,32.96662051,2.525530069,32.96662005,2.525534961,4.616440208e-07,4.891937295e-06
2,dr_m,0.0001,1800,1.5,33.96137611,2.325714309,33.96137581,2.32570684,2.982341698e-07,7.468385292e-06
2,dr_m,0.0001,1800,2.0,35.41348898,1.64866093,35.41348373,1.648662826,5.246906902e-06,1.896184345e-06
2,dr_m,0.0001,3600,0.0,40.38158459,2.525704268,40.38158327,2.52571045,1.319897841e-06,6.18180148e-06
2,dr_m,0.0001,3600,0.5,40.55357222,2.494754324,40.55357069,2.494759635,1.526667653e-06,5.310386002e-06
2,dr_m,0.0001,3600,1.0,41.06047792,2.357804552,41.06047524,2.357805241,2.671606644e-06,6.888866864e-07
2,dr_m,0.0001,3600,1.5,41.87825739,2.022981568,41.87825216,2.022978424,5.231710453e-06,3.144194117e-06
2,dr_m,0.0001,3600,2.0,42.99768532,1.47111007,42.99767848,1.471115188,6.837477393e-06,5.117589516e-06
2,dr_m,0.0001,5400,0.0,45.84643973,2.386032177,45.84643813,2.386036811,1.598580397e-06,4.634111144e-06
2,dr_m,0.0001,5400,0.5,45.93449827,2.325613863,45.93449641,2.325616935,1.858319145e-06,3.072438632e-06
2,dr_m,0.0001,5400,1.0,46.19267229,2.134406728,46.1926696,2.134406973,2.689895943e-06,2.449409577e-07
2,dr_m,0.0001,5400,1.5,46.6048072,1.802028544,46.60480318,1.802028575,4.022488177e-06,3.127329018e-08
2,dr_m,0.0001,5400,2.0,47.13981153,1.347573228,47.13980329,1.347577123,8.241737262e-06,3.895073252e-06
2,dr_m,0.0001,7200,0.0,48.44997585,2.170843275,48.44997468,2.170844628,1.178017719e-06,1.352525203e-06
2,dr_m,0.0001,7200,0.5,48.48780396,2.108429674,48.48780269,2.108430622,1.271465017e-06,9.478387462e-07
2,dr_m,0.0001,7200,1.0,48.59820717,1.92363199,48.59820552,1.923632431,1.652438179e-06,4.408365211e-07
2,dr_m,0.0001,7200,1.5,48.77334499,1.625945619,48.77334278,1.625946702,2.209438286e-06,1.082935379e-06
2,dr_m,0.0001,7200,2.0,49.00315876,1.231094524,49.00315546,1.231097893,3.298171428e-06,3.368668877e-06
2,dr_m,0.0001,9000,0.0,49.46681326,1.956647288,49.46681275,1.95664733,5.050683782e-07,4.184999991e-08
2,dr_m,0.0001,9000,0.5,49.47905115,1.900603522,49.47905064,1.900603612,5.132642968e-07,8.967827547e-08
2,dr_m,0.0001,9000,1.0,49.51349316,1.735987169,49.51349236,1.73598756,8.01118901e-07,3.910550419e-07
2,dr_m,0.0001,9000,1.5,49.56528505,1.471992982,49.56528381,1.471994223,1.240480572e-06,1.241273179e-06
2,dr_m,0.0001,9000,2.0,49.66095396,1.116649107,49.66095794,1.116652256,3.982159889e-06,3.148865767e-06
2,dr_m,0.0001,10800,0.0,49.8494639,1.766188015,49.84946325,1.766187709,6.465000126e-07,3.059644635e-07
2,dr_m,0.0001,10800,0.5,49.85530793,1.71654353,49.85530741,1.716543368,5.190745327e-07,1.613916292e-07
2,dr_m,0.0001,10800,1.0,49.87457356,1.570207123,49.8745733,1.570207415,2.595756783e-07,2.913138148e-07
2,dr_m,0.0001,10800,1.5,49.91011778,1.333269897,49.91011754,1.333271002,2.329484872e-07,1.104710298e-06
2,dr_m,0.0001,10800,2.0,49.96639979,1.008125566,49.96640007,1.008128314,2.876256318e-07,2.748158967e-06
