task,parameter,value,time_s,radius_cm,temperature_C,moisture_kgkg,base_temperature_C,base_moisture_kgkg,abs_dT_C,abs_dC_kgkg
2,picard_tol_C,1e-08,1800,0.0,32.189983,2.549933221,32.189983,2.549933221,2.131628207e-14,8.881784197e-16
2,picard_tol_C,1e-08,1800,0.5,32.3828355,2.548878466,32.3828355,2.548878466,2.557953849e-13,5.329070518e-15
2,picard_tol_C,1e-08,1800,1.0,32.96662005,2.525534961,32.96662005,2.525534961,1.421085472e-14,1.33226763e-15
2,picard_tol_C,1e-08,1800,1.5,33.96137581,2.32570684,33.96137581,2.32570684,1.847411113e-13,1.776356839e-15
2,picard_tol_C,1e-08,1800,2.0,35.41348373,1.648662826,35.41348373,1.648662826,3.410605132e-13,2.842170943e-14
2,picard_tol_C,1e-08,3600,0.0,40.38158327,2.52571045,40.38158327,2.52571045,1.094235813e-12,7.549516567e-15
2,picard_tol_C,1e-08,3600,0.5,40.55357069,2.494759635,40.55357069,2.494759635,1.037392394e-12,1.154631946e-14
2,picard_tol_C,1e-08,3600,1.0,41.06047524,2.357805241,41.06047524,2.357805241,6.608047443e-13,7.549516567e-15
2,picard_tol_C,1e-08,3600,1.5,41.87825216,2.022978424,41.87825216,2.022978424,8.952838471e-13,2.664535259e-15
2,picard_tol_C,1e-08,3600,2.0,42.99767848,1.471115188,42.99767848,1.471115188,1.257660642e-12,7.993605777e-15
2,picard_tol_C,1e-08,5400,0.0,45.84643813,2.386036811,45.84643813,2.386036811,4.76063633e-13,7.105427358e-15
2,picard_tol_C,1e-08,5400,0.5,45.93449641,2.325616935,45.93449641,2.325616935,4.831690603e-13,6.217248938e-15
2,picard_tol_C,1e-08,5400,1.0,46.1926696,2.134406973,46.1926696,2.134406973,9.450218386e-13,3.108624469e-15
2,picard_tol_C,1e-08,5400,1.5,46.60480318,1.802028575,46.60480318,1.802028575,6.608047443e-13,8.881784197e-16
2,picard_tol_C,1e-08,5400,2.0,47.13980329,1.347577123,47.13980329,1.347577123,4.902744877e-13,1.776356839e-15
2,picard_tol_C,1e-08,7200,0.0,48.44997468,2.170844628,48.44997468,2.170844628,3.836930773e-13,9.325873407e-15
2,picard_tol_C,1e-08,7200,0.5,48.48780269,2.108430622,48.48780269,2.108430622,5.115907697e-13,1.243449788e-14
2,picard_tol_C,1e-08,7200,1.0,48.59820552,1.923632431,48.59820552,1.923632431,1.008970685e-12,1.687538997e-14
2,picard_tol_C,1e-08,7200,1.5,48.77334278,1.625946702,48.77334278,1.625946702,5.96855898e-13,1.776356839e-15
2,picard_tol_C,1e-08,7200,2.0,49.00315546,1.231097893,49.00315546,1.231097893,8.029132914e-13,0
2,picard_tol_C,1e-08,9000,0.0,49.46681275,1.95664733,49.46681275,1.95664733,1.108446668e-12,2.70894418e-14
2,picard_tol_C,1e-08,9000,0.5,49.47905064,1.900603612,49.47905064,1.900603612,4.121147867e-13,1.931788063e-14
2,picard_tol_C,1e-08,9000,1.0,49.51349236,1.73598756,49.51349236,1.73598756,2.273736754e-13,1.487698853e-14
2,picard_tol_C,1e-08,9000,1.5,49.56528381,1.471994223,49.56528381,1.471994223,3.055333764e-13,7.327471963e-15
2,picard_tol_C,1e-08,9000,2.0,49.66095794,1.116652256,49.66095794,1.116652256,1.847411113e-13,4.662936703e-15
2,picard_tol_C,1e-08,10800,0.0,49.84946325,1.766187709,49.84946325,1.766187709,1.115552095e-12,2.065014826e-14
2,picard_tol_C,1e-08,10800,0.5,49.85530741,1.716543368,49.85530741,1.716543368,1.016076112e-12,1.998401444e-14
2,picard_tol_C,1e-08,10800,1.0,49.8745733,1.570207415,49.8745733,1.570207415,1.122657523e-12,1.110223025e-14
2,picard_tol_C,1e-08,10800,1.5,49.91011754,1.333271002,49.91011754,1.333271002,2.629008122e-13,7.771561172e-15
2,picard_tol_C,1e-08,10800,2.0,49.96640007,1.008128314,49.96640007,1.008128314,1.847411113e-13,4.440892099e-16
