task,parameter,value,time_s,radius_cm,temperature_C,moisture_kgkg,base_temperature_C,base_moisture_kgkg,abs_dT_C,abs_dC_kgkg
2,picard_tol_T,1e-06,1800,0.0,32.18924451,2.549934093,32.18924451,2.549934093,0,0
2,picard_tol_T,1e-06,1800,0.5,32.38211411,2.548883816,32.38211411,2.548883816,0,0
2,picard_tol_T,1e-06,1800,1.0,32.96593999,2.525557942,32.96593999,2.525557942,0,0
2,picard_tol_T,1e-06,1800,1.5,33.96077879,2.325704122,33.96077879,2.325704122,0,0
2,picard_tol_T,1e-06,1800,2.0,35.41302018,1.648617718,35.41302018,1.648617718,0,0
2,picard_tol_T,1e-06,3600,0.0,40.38156664,2.525737486,40.38156664,2.525737486,0,0
2,picard_tol_T,1e-06,3600,0.5,40.55356597,2.494786835,40.55356597,2.494786835,0,0
2,picard_tol_T,1e-06,3600,1.0,41.06048399,2.357819154,41.06048399,2.357819154,0,0
2,picard_tol_T,1e-06,3600,1.5,41.8782184,2.022963675,41.8782184,2.022963675,0,0
2,picard_tol_T,1e-06,3600,2.0,42.99760878,1.471093485,42.99760878,1.471093485,0,0
2,picard_tol_T,1e-06,5400,0.0,45.84675512,2.386064172,45.84675512,2.386064172,0,0
2,picard_tol_T,1e-06,5400,0.5,45.93480619,2.325636513,45.93480619,2.325636513,0,0
2,picard_tol_T,1e-06,5400,1.0,46.19295351,2.134408804,46.19295351,2.134408804,0,0
2,picard_tol_T,1e-06,5400,1.5,46.60507431,1.802016991,46.60507431,1.802016991,0,0
2,picard_tol_T,1e-06,5400,2.0,47.14005037,1.347567206,47.14005037,1.347567206,0,0
2,picard_tol_T,1e-06,7200,0.0,48.45023543,2.170851518,48.45023543,2.170851518,0,0
2,picard_tol_T,1e-06,7200,0.5,48.48806047,2.108433886,48.48806047,2.108433886,0,0
2,picard_tol_T,1e-06,7200,1.0,48.59844475,1.923628412,48.59844475,1.923628412,0,0
2,picard_tol_T,1e-06,7200,1.5,48.77355041,1.62593872,48.77355041,1.62593872,0,0
2,picard_tol_T,1e-06,7200,2.0,49.00332449,1.231092555,49.00332449,1.231092555,0,0
2,picard_tol_T,1e-06,9000,0.0,49.46698061,1.956641757,49.46698061,1.956641757,0,0
2,picard_tol_T,1e-06,9000,0.5,49.47922005,1.900597286,49.47922005,1.900597286,0,0
2,picard_tol_T,1e-06,9000,1.0,49.51365003,1.735980053,49.51365003,1.735980053,0,0
2,picard_tol_T,1e-06,9000,1.5,49.56533159,1.471987165,49.56533159,1.471987165,0,0
2,picard_tol_T,1e-06,9000,2.0,49.66090981,1.116647567,49.66090981,1.116647567,0,0
2,picard_tol_T,1e-06,10800,0.0,49.8494956,1.766177107,49.8494956,1.766177107,0,0
2,picard_tol_T,1e-06,10800,0.5,49.85534067,1.716533018,49.85534067,1.716533018,0,0
2,picard_tol_T,1e-06,10800,1.0,49.87461226,1.570197991,49.87461226,1.570197991,0,0
2,picard_tol_T,1e-06,10800,1.5,49.91014781,1.333263404,49.91014781,1.333263404,0,0
2,picard_tol_T,1e-06,10800,2.0,49.96641285,1.008123067,49.96641285,1.008123067,0,0
