task,parameter,value,time_s,radius_cm,temperature_C,moisture_kgkg,base_temperature_C,base_moisture_kgkg,abs_dT_C,abs_dC_kgkg
2,time_step_s,0.25,1800,0.0,32.18961394,2.549933613,32.189983,2.549933221,0.0003690595822,3.924206302e-07
2,time_step_s,0.25,1800,0.5,32.38247496,2.548880894,32.3828355,2.548878466,0.0003605386382,2.427687364e-06
2,time_step_s,0.25,1800,1.0,32.96628018,2.525545684,32.96662005,2.525534961,0.000339866878,1.072266986e-05
2,time_step_s,0.25,1800,1.5,33.96107746,2.325706647,33.96137581,2.32570684,0.0002983468277,1.93092955e-07
2,time_step_s,0.25,1800,2.0,35.41325279,1.648639982,35.41348373,1.648662826,0.0002309366205,2.28448167e-05
2,time_step_s,0.25,3600,0.0,40.3815752,2.525723,40.38158327,2.52571045,8.062453865e-06,1.255065986e-05
2,time_step_s,0.25,3600,0.5,40.55356857,2.494772403,40.55357069,2.494759635,2.123071184e-06,1.276785465e-05
2,time_step_s,0.25,3600,1.0,41.06047991,2.357812088,41.06047524,2.357805241,4.670097638e-06,6.847111302e-06
2,time_step_s,0.25,3600,1.5,41.87823608,2.022971542,41.87825216,2.022978424,1.60836676e-05,6.881284992e-06
2,time_step_s,0.25,3600,2.0,42.99764488,1.471103538,42.99767848,1.471115188,3.360752623e-05,1.164950835e-05
2,time_step_s,0.25,5400,0.0,45.84659683,2.386049764,45.84643813,2.386036811,0.000158699657,1.295280198e-05
2,time_step_s,0.25,5400,0.5,45.93465153,2.325626241,45.93449641,2.325616935,0.0001551227119,9.306397325e-06
2,time_step_s,0.25,5400,1.0,46.19281199,2.13440785,46.1926696,2.134406973,0.0001423846821,8.772425657e-07
2,time_step_s,0.25,5400,1.5,46.60493936,1.802022779,46.60480318,1.802028575,0.0001361788746,5.795813641e-06
2,time_step_s,0.25,5400,2.0,47.13992794,1.347571556,47.13980329,1.347577123,0.0001246497703,5.566540664e-06
2,time_step_s,0.25,7200,0.0,48.45010522,2.17084786,48.44997468,2.170844628,0.00013054844,3.232725682e-06
2,time_step_s,0.25,7200,0.5,48.48793174,2.108432105,48.48780269,2.108430622,0.0001290539902,1.483102046e-06
2,time_step_s,0.25,7200,1.0,48.59832536,1.923630352,48.59820552,1.923632431,0.0001198471176,2.078440904e-06
2,time_step_s,0.25,7200,1.5,48.77344692,1.625942542,48.77334278,1.625946702,0.0001041439149,4.160114047e-06
2,time_step_s,0.25,7200,2.0,49.00324044,1.231094697,49.00315546,1.231097893,8.497794024e-05,3.195598221e-06
2,time_step_s,0.25,9000,0.0,49.46689679,1.956644537,49.46681275,1.95664733,8.403758982e-05,2.792875542e-06
2,time_step_s,0.25,9000,0.5,49.47913542,1.900600435,49.47905064,1.900603612,8.478126195e-05,3.176524396e-06
2,time_step_s,0.25,9000,1.0,49.5135711,1.735983746,49.51349236,1.73598756,7.874244359e-05,3.814280493e-06
2,time_step_s,0.25,9000,1.5,49.56530787,1.4719905,49.56528381,1.471994223,2.40545815e-05,3.723083753e-06
2,time_step_s,0.25,9000,2.0,49.66093362,1.11664942,49.66095794,1.116652256,2.431594334e-05,2.836189729e-06
2,time_step_s,0.25,10800,0.0,49.84947956,1.766182456,49.84946325,1.766187709,1.630981095e-05,5.252595884e-06
2,time_step_s,0.25,10800,0.5,49.85532415,1.716538219,49.85530741,1.716543368,1.674592885e-05,5.149612533e-06
2,time_step_s,0.25,10800,1.0,49.87459279,1.570202658,49.8745733,1.570207415,1.949066699e-05,4.757035319e-06
2,time_step_s,0.25,10800,1.5,49.91013269,1.33326703,49.91011754,1.333271002,1.515004437e-05,3.971578911e-06
2,time_step_s,0.25,10800,2.0,49.96640647,1.008125261,49.96640007,1.008128314,6.391882103e-06,3.053196177e-06
