task,parameter,value,time_s,radius_cm,temperature_C,moisture_kgkg,base_temperature_C,base_moisture_kgkg,abs_dT_C,abs_dC_kgkg
2,time_step_s,1,1800,0.0,32.19072117,2.549932432,32.189983,2.549933221,0.0007381737354,7.881110795e-07
2,time_step_s,1,1800,0.5,32.3835566,2.548873607,32.3828355,2.548878466,0.0007210991596,4.858859353e-06
2,time_step_s,1,1800,1.0,32.96729961,2.525513523,32.96662005,2.525534961,0.000679559866,2.143840453e-05
2,time_step_s,1,1800,1.5,33.96197238,2.325707223,33.96137581,2.32570684,0.0005965691483,3.830209319e-07
2,time_step_s,1,1800,2.0,35.41394556,1.648708513,35.41348373,1.648662826,0.0004618345504,4.568681987e-05
2,time_step_s,1,3600,0.0,40.38159943,2.525685352,40.38158327,2.52571045,1.616240448e-05,2.509736767e-05
2,time_step_s,1,3600,0.5,40.55357507,2.494734103,40.55357069,2.494759635,4.380210555e-06,2.5531338e-05
2,time_step_s,1,3600,1.0,41.06046618,2.357791548,41.06047524,2.357805241,9.063118696e-06,1.36933895e-05
2,time_step_s,1,3600,1.5,41.87828428,2.022992184,41.87825216,2.022978424,3.212017573e-05,1.376050787e-05
2,time_step_s,1,3600,2.0,42.99774554,1.471138487,42.99767848,1.471115188,6.705436474e-05,2.329906618e-05
2,time_step_s,1,5400,0.0,45.84612084,2.386010909,45.84643813,2.386036811,0.0003172851807,2.590155436e-05
2,time_step_s,1,5400,0.5,45.93418628,2.325598324,45.93449641,2.325616935,0.00031012897,1.86107123e-05
2,time_step_s,1,5400,1.0,46.19238476,2.134405218,46.1926696,2.134406973,0.0002848412996,1.754936587e-06
2,time_step_s,1,5400,1.5,46.60453094,1.802040167,46.60480318,1.802028575,0.0002722377442,1.159172236e-05
2,time_step_s,1,5400,2.0,47.1395542,1.347588257,47.13980329,1.347577123,0.0002490903277,1.113450484e-05
2,time_step_s,1,7200,0.0,48.44971361,2.170838161,48.44997468,2.170844628,0.0002610695436,6.466817192e-06
2,time_step_s,1,7200,0.5,48.48754464,2.108427655,48.48780269,2.108430622,0.0002580501085,2.967321524e-06
2,time_step_s,1,7200,1.0,48.59796582,1.923636588,48.59820552,1.923632431,0.0002396995615,4.156596873e-06
2,time_step_s,1,7200,1.5,48.77313452,1.625955023,48.77334278,1.625946702,0.000208263441,8.320999627e-06
2,time_step_s,1,7200,2.0,49.00298556,1.231104286,49.00315546,1.231097893,0.0001699035174,6.392614633e-06
2,time_step_s,1,9000,0.0,49.46664454,1.956652914,49.46681275,1.95664733,0.0001682076764,5.583798789e-06
2,time_step_s,1,9000,0.5,49.47888111,1.900609963,49.47905064,1.900603612,0.0001695311389,6.351661112e-06
2,time_step_s,1,9000,1.0,49.51333529,1.735995188,49.51349236,1.73598756,0.0001570649186,7.628178565e-06
2,time_step_s,1,9000,1.5,49.5652355,1.47200167,49.56528381,1.471994223,4.83094941e-05,7.446464791e-06
2,time_step_s,1,9000,2.0,49.66100616,1.116657929,49.66095794,1.116652256,4.822027573e-05,5.672930392e-06
2,time_step_s,1,10800,0.0,49.84943043,1.766198213,49.84946325,1.766187709,3.28244499e-05,1.050387133e-05
2,time_step_s,1,10800,0.5,49.8552738,1.716553666,49.85530741,1.716543368,3.360903755e-05,1.029828103e-05
2,time_step_s,1,10800,1.0,49.87453439,1.570216929,49.8745733,1.570207415,3.891007576e-05,9.513868242e-06
2,time_step_s,1,10800,1.5,49.91008723,1.333278945,49.91011754,1.333271002,3.031329868e-05,7.943632369e-06
2,time_step_s,1,10800,2.0,49.96638723,1.008134421,49.96640007,1.008128314,1.284384768e-05,6.106911771e-06
