task,parameter,value,time_h,radius_cm,moisture_kgkg,base_moisture_kgkg,abs_dC_kgkg
3,TIME_STEP_EARLY_S,0.5,6,0.0,1.016918353,1.016918353,1.471216482e-10
3,TIME_STEP_EARLY_S,0.5,6,0.5,0.9880925912,0.988092591,1.427086227e-10
3,TIME_STEP_EARLY_S,0.5,6,1.0,0.9014941442,0.901494144,1.305658914e-10
3,TIME_STEP_EARLY_S,0.5,6,1.5,0.7549981069,0.7549981068,1.126543303e-10
3,TIME_STEP_EARLY_S,0.5,6,2.0,0.532810459,0.5328104589,9.402678636e-11
3,TIME_STEP_EARLY_S,0.5,12,0.0,0.4561026228,0.4561026227,3.772437918e-11
3,TIME_STEP_EARLY_S,0.5,12,0.5,0.4431202549,0.4431202549,3.645417301e-11
3,TIME_STEP_EARLY_S,0.5,12,1.0,0.403039439,0.403039439,3.26568772e-11
3,TIME_STEP_EARLY_S,0.5,12,1.5,0.3297138257,0.3297138257,2.629613194e-11
3,TIME_STEP_EARLY_S,0.5,12,2.0,0.1641796999,0.1641796999,2.323366499e-11
3,TIME_STEP_EARLY_S,0.5,18,0.0,0.2988106787,0.2988106787,1.247552062e-11
3,TIME_STEP_EARLY_S,0.5,18,0.5,0.2915213656,0.2915213656,1.201261313e-11
3,TIME_STEP_EARLY_S,0.5,18,1.0,0.2686856447,0.2686856447,1.059596855e-11
3,TIME_STEP_EARLY_S,0.5,18,1.5,0.2252839457,0.2252839457,8.05330802e-12
3,TIME_STEP_EARLY_S,0.5,18,2.0,0.08446301596,0.08446301595,4.487729632e-12
3,TIME_STEP_EARLY_S,0.5,24,0.0,0.2377772303,0.2377772303,5.885597565e-12
3,TIME_STEP_EARLY_S,0.5,24,0.5,0.2327185184,0.2327185184,5.6734617e-12
3,TIME_STEP_EARLY_S,0.5,24,1.0,0.2167088562,0.2167088562,5.023981231e-12
3,TIME_STEP_EARLY_S,0.5,24,1.5,0.1855418002,0.1855418002,3.886613253e-12
3,TIME_STEP_EARLY_S,0.5,24,2.0,0.06645901303,0.06645901303,1.400352057e-12
3,TIME_STEP_EARLY_S,0.5,30,0.0,0.2058085055,0.2058085055,3.435973728e-12
3,TIME_STEP_EARLY_S,0.5,30,0.5,0.2018309574,0.2018309574,3.328837206e-12
3,TIME_STEP_EARLY_S,0.5,30,1.0,0.1891572348,0.1891572348,2.98452929e-12
3,TIME_STEP_EARLY_S,0.5,30,1.5,0.164091905,0.164091905,2.347677608e-12
3,TIME_STEP_EARLY_S,0.5,30,2.0,0.05982931487,0.05982931487,6.205244651e-13
3,TIME_STEP_EARLY_S,0.5,36,0.0,0.1858673787,0.1858673787,2.292721568e-12
3,TIME_STEP_EARLY_S,0.5,36,0.5,0.1825205841,0.1825205841,2.231242968e-12
3,TIME_STEP_EARLY_S,0.5,36,1.0,0.1718059543,0.1718059543,2.006256272e-12
3,TIME_STEP_EARLY_S,0.5,36,1.5,0.150380039,0.150380039,1.597971755e-12
3,TIME_STEP_EARLY_S,0.5,36,2.0,0.05664003939,0.05664003939,3.244418623e-13
3,TIME_STEP_EARLY_S,0.5,42,0.0,0.172059253,0.172059253,1.650929393e-12
3,TIME_STEP_EARLY_S,0.5,42,0.5,0.1691267457,0.1691267457,1.609989919e-12
3,TIME_STEP_EARLY_S,0.5,42,1.0,0.1597052717,0.1597052717,1.462691079e-12
3,TIME_STEP_EARLY_S,0.5,42,1.5,0.1407096028,0.1407096028,1.179473186e-12
3,TIME_STEP_EARLY_S,0.5,42,2.0,0.05484655241,0.05484655241,1.917979664e-13
3,TIME_STEP_EARLY_S,0.5,48,0.0,0.161823124,0.161823124,1.264516269e-12
3,TIME_STEP_EARLY_S,0.5,48,0.5,0.1591849252,0.1591849252,1.222799639e-12
3,TIME_STEP_EARLY_S,0.5,48,1.0,0.1506856479,0.1506856479,1.115912918e-12
3,TIME_STEP_EARLY_S,0.5,48,1.5,0.1334387185,0.1334387185,9.048040095e-13
3,TIME_STEP_EARLY_S,0.5,48,2.0,0.05372914067,0.05372914067,1.23345778e-13
3,TIME_STEP_EARLY_S,0.5,54,0.0,0.1538644483,0.1538644483,9.924283617e-13
3,TIME_STEP_EARLY_S,0.5,54,0.5,0.151447147,0.151447147,9.675871215e-13
3,TIME_STEP_EARLY_S,0.5,54,1.0,0.1436421867,0.1436421867,8.848477506e-13
3,TIME_STEP_EARLY_S,0.5,54,1.5,0.1277214711,0.1277214711,7.268630142e-13
3,TIME_STEP_EARLY_S,0.5,54,2.0,0.05298082764,0.05298082764,9.332118411e-14
