task,parameter,value,time_h,radius_cm,moisture_kgkg,base_moisture_kgkg,abs_dC_kgkg
3,TIME_STEP_EARLY_S,2,6,0.0,1.016918352,1.016918353,5.856612972e-10
3,TIME_STEP_EARLY_S,2,6,0.5,0.9880925905,0.988092591,5.689699822e-10
3,TIME_STEP_EARLY_S,2,6,1.0,0.9014941435,0.901494144,5.213087739e-10
3,TIME_STEP_EARLY_S,2,6,1.5,0.7549981063,0.7549981068,4.501884421e-10
3,TIME_STEP_EARLY_S,2,6,2.0,0.5328104585,0.5328104589,3.760859402e-10
3,TIME_STEP_EARLY_S,2,12,0.0,0.4561026226,0.4561026227,1.503204783e-10
3,TIME_STEP_EARLY_S,2,12,0.5,0.4431202547,0.4431202549,1.453314691e-10
3,TIME_STEP_EARLY_S,2,12,1.0,0.4030394389,0.403039439,1.302031816e-10
3,TIME_STEP_EARLY_S,2,12,1.5,0.3297138256,0.3297138257,1.04852127e-10
3,TIME_STEP_EARLY_S,2,12,2.0,0.1641796998,0.1641796999,9.351128205e-11
3,TIME_STEP_EARLY_S,2,18,0.0,0.2988106786,0.2988106787,5.014777482e-11
3,TIME_STEP_EARLY_S,2,18,0.5,0.2915213655,0.2915213656,4.824968203e-11
3,TIME_STEP_EARLY_S,2,18,1.0,0.2686856447,0.2686856447,4.248479346e-11
3,TIME_STEP_EARLY_S,2,18,1.5,0.2252839456,0.2252839457,3.228761702e-11
3,TIME_STEP_EARLY_S,2,18,2.0,0.08446301594,0.08446301595,1.777877845e-11
3,TIME_STEP_EARLY_S,2,24,0.0,0.2377772303,0.2377772303,2.35637343e-11
3,TIME_STEP_EARLY_S,2,24,0.5,0.2327185184,0.2327185184,2.273500832e-11
3,TIME_STEP_EARLY_S,2,24,1.0,0.2167088561,0.2167088562,2.021191547e-11
3,TIME_STEP_EARLY_S,2,24,1.5,0.1855418002,0.1855418002,1.561747953e-11
3,TIME_STEP_EARLY_S,2,24,2.0,0.06645901302,0.06645901303,5.577371898e-12
3,TIME_STEP_EARLY_S,2,30,0.0,0.2058085055,0.2058085055,1.378336334e-11
3,TIME_STEP_EARLY_S,2,30,0.5,0.2018309574,0.2018309574,1.333355648e-11
3,TIME_STEP_EARLY_S,2,30,1.0,0.1891572348,0.1891572348,1.194866428e-11
3,TIME_STEP_EARLY_S,2,30,1.5,0.164091905,0.164091905,9.38363276e-12
3,TIME_STEP_EARLY_S,2,30,2.0,0.05982931486,0.05982931487,2.45531373e-12
3,TIME_STEP_EARLY_S,2,36,0.0,0.1858673787,0.1858673787,9.153816594e-12
3,TIME_STEP_EARLY_S,2,36,0.5,0.1825205841,0.1825205841,8.871764434e-12
3,TIME_STEP_EARLY_S,2,36,1.0,0.1718059543,0.1718059543,7.994993556e-12
3,TIME_STEP_EARLY_S,2,36,1.5,0.150380039,0.150380039,6.364603289e-12
3,TIME_STEP_EARLY_S,2,36,2.0,0.05664003939,0.05664003939,1.298842978e-12
3,TIME_STEP_EARLY_S,2,42,0.0,0.172059253,0.172059253,6.601219571e-12
3,TIME_STEP_EARLY_S,2,42,0.5,0.1691267457,0.1691267457,6.406652986e-12
3,TIME_STEP_EARLY_S,2,42,1.0,0.1597052717,0.1597052717,5.796890745e-12
3,TIME_STEP_EARLY_S,2,42,1.5,0.1407096028,0.1407096028,4.654859831e-12
3,TIME_STEP_EARLY_S,2,42,2.0,0.05484655241,0.05484655241,7.781136846e-13
3,TIME_STEP_EARLY_S,2,48,0.0,0.161823124,0.161823124,5.026062899e-12
3,TIME_STEP_EARLY_S,2,48,0.5,0.1591849252,0.1591849252,4.885564175e-12
3,TIME_STEP_EARLY_S,2,48,1.0,0.1506856479,0.1506856479,4.445555035e-12
3,TIME_STEP_EARLY_S,2,48,1.5,0.1334387185,0.1334387185,3.594263775e-12
3,TIME_STEP_EARLY_S,2,48,2.0,0.05372914067,0.05372914067,5.087388844e-13
3,TIME_STEP_EARLY_S,2,54,0.0,0.1538644483,0.1538644483,3.990696662e-12
3,TIME_STEP_EARLY_S,2,54,0.5,0.151447147,0.151447147,3.880201715e-12
3,TIME_STEP_EARLY_S,2,54,1.0,0.1436421867,0.1436421867,3.537170556e-12
3,TIME_STEP_EARLY_S,2,54,1.5,0.1277214711,0.1277214711,2.881556105e-12
3,TIME_STEP_EARLY_S,2,54,2.0,0.05298082764,0.05298082764,3.436972928e-13
