task,parameter,value,time_h,radius_cm,moisture_kgkg,base_moisture_kgkg,abs_dC_kgkg
3,picard_tol,loosen100x,6,0.0,1.016918353,1.016918353,1.040501019e-12
3,picard_tol,loosen100x,6,0.5,0.988092591,0.988092591,1.038724662e-12
3,picard_tol,loosen100x,6,1.0,0.901494144,0.901494144,8.252287742e-13
3,picard_tol,loosen100x,6,1.5,0.7549981068,0.7549981068,7.145395386e-13
3,picard_tol,loosen100x,6,2.0,0.5328104589,0.5328104589,6.551426068e-13
3,picard_tol,loosen100x,12,0.0,0.4561026227,0.4561026227,3.635425294e-13
3,picard_tol,loosen100x,12,0.5,0.4431202549,0.4431202549,3.566036355e-13
3,picard_tol,loosen100x,12,1.0,0.403039439,0.403039439,6.22890628e-13
3,picard_tol,loosen100x,12,1.5,0.3297138257,0.3297138257,1.602384891e-12
3,picard_tol,loosen100x,12,2.0,0.1641796999,0.1641796999,1.153616092e-11
3,picard_tol,loosen100x,18,0.0,0.2988106787,0.2988106787,1.517563852e-12
3,picard_tol,loosen100x,18,0.5,0.2915213656,0.2915213656,1.520894521e-12
3,picard_tol,loosen100x,18,1.0,0.2686856447,0.2686856447,1.518674075e-12
3,picard_tol,loosen100x,18,1.5,0.2252839457,0.2252839457,1.564304242e-12
3,picard_tol,loosen100x,18,2.0,0.08446301595,0.08446301595,1.930691718e-12
3,picard_tol,loosen100x,24,0.0,0.2377772303,0.2377772303,1.154160101e-12
3,picard_tol,loosen100x,24,0.5,0.2327185184,0.2327185184,1.200511912e-12
3,picard_tol,loosen100x,24,1.0,0.2167088562,0.2167088562,1.391498028e-12
3,picard_tol,loosen100x,24,1.5,0.1855418002,0.1855418002,1.89404048e-12
3,picard_tol,loosen100x,24,2.0,0.06645901303,0.06645901303,3.544067817e-12
3,picard_tol,loosen100x,30,0.0,0.2058085055,0.2058085055,9.973410986e-13
3,picard_tol,loosen100x,30,0.5,0.2018309574,0.2018309574,9.618972285e-13
3,picard_tol,loosen100x,30,1.0,0.1891572348,0.1891572348,7.643607969e-13
3,picard_tol,loosen100x,30,1.5,0.164091905,0.164091905,1.683098105e-13
3,picard_tol,loosen100x,30,2.0,0.05982931487,0.05982931487,5.836858774e-13
3,picard_tol,loosen100x,36,0.0,0.1858673787,0.1858673787,4.306277557e-13
3,picard_tol,loosen100x,36,0.5,0.1825205841,0.1825205841,3.247402347e-13
3,picard_tol,loosen100x,36,1.0,0.1718059543,0.1718059543,2.196576254e-13
3,picard_tol,loosen100x,36,1.5,0.150380039,0.150380039,3.659406111e-12
3,picard_tol,loosen100x,36,2.0,0.05664003939,0.05664003939,3.552477756e-12
3,picard_tol,loosen100x,42,0.0,0.172059253,0.172059253,5.42316192e-13
3,picard_tol,loosen100x,42,0.5,0.1691267457,0.1691267457,9.109379917e-13
3,picard_tol,loosen100x,42,1.0,0.1597052717,0.1597052717,2.35764186e-12
3,picard_tol,loosen100x,42,1.5,0.1407096028,0.1407096028,6.362160798e-12
3,picard_tol,loosen100x,42,2.0,0.0548465524,0.05484655241,3.653514991e-12
3,picard_tol,loosen100x,48,0.0,0.161823124,0.161823124,1.679711925e-12
3,picard_tol,loosen100x,48,0.5,0.1591849252,0.1591849252,2.002231714e-12
3,picard_tol,loosen100x,48,1.0,0.1506856479,0.1506856479,3.049477337e-12
3,picard_tol,loosen100x,48,1.5,0.1334387185,0.1334387185,5.122430258e-12
3,picard_tol,loosen100x,48,2.0,0.05372914067,0.05372914067,1.873667888e-12
3,picard_tol,loosen100x,54,0.0,0.1538644483,0.1538644483,2.207012351e-12
3,picard_tol,loosen100x,54,0.5,0.151447147,0.151447147,2.408712119e-12
3,picard_tol,loosen100x,54,1.0,0.1436421867,0.1436421867,3.139655202e-12
3,picard_tol,loosen100x,54,1.5,0.1277214711,0.1277214711,6.459527357e-12
3,picard_tol,loosen100x,54,2.0,0.05298082764,0.05298082764,4.13455381e-12
