task,parameter,value,time_h,radius_cm,moisture_kgkg,base_moisture_kgkg,abs_dC_kgkg
4,STABLE_START_S,10800,6,0.0,1.719603041,1.719517304,8.573728468e-05
4,STABLE_START_S,10800,6,0.5,1.537754216,1.537680131,7.408574681e-05
4,STABLE_START_S,10800,6,1.0,1.0226154,1.022585593,2.980702722e-05
4,STABLE_START_S,10800,6,surface,0.4206819567,0.4207275526,4.559586872e-05
4,STABLE_START_S,10800,12,0.0,0.7376876193,0.7375698124,0.000117806932
4,STABLE_START_S,10800,12,0.5,0.6546408994,0.6545424643,9.843507529e-05
4,STABLE_START_S,10800,12,1.0,0.4083266028,0.4082805095,4.609335587e-05
4,STABLE_START_S,10800,12,surface,0.1669463205,0.1669479041,1.583541655e-06
4,STABLE_START_S,10800,18,0.0,0.4087584512,0.4086840613,7.438987619e-05
4,STABLE_START_S,10800,18,0.5,0.3686583579,0.3685948087,6.35491259e-05
4,STABLE_START_S,10800,18,1.0,0.2397516712,0.2397193883,3.228291369e-05
4,STABLE_START_S,10800,18,surface,0.0891720153,0.08917213898,1.236871682e-07
4,STABLE_START_S,10800,24,0.0,0.2851264205,0.285077871,4.854951421e-05
4,STABLE_START_S,10800,24,0.5,0.2610695223,0.2610273115,4.22108138e-05
4,STABLE_START_S,10800,24,1.0,0.1790080198,0.1789851721,2.284770708e-05
4,STABLE_START_S,10800,24,surface,0.06732214453,0.06732494088,2.79634518e-06
4,STABLE_START_S,10800,30,0.0,0.2263350481,0.2263001144,3.493374844e-05
4,STABLE_START_S,10800,30,0.5,0.2093967696,0.2093660001,3.076948193e-05
4,STABLE_START_S,10800,30,1.0,0.1492868251,0.1492693367,1.748845606e-05
4,STABLE_START_S,10800,30,surface,0.05947919712,0.05948343046,4.233340082e-06
4,STABLE_START_S,10800,36,0.0,0.1928287105,0.192801586,2.712455907e-05
4,STABLE_START_S,10800,36,0.5,0.1796685996,0.1796444868,2.411274729e-05
4,STABLE_START_S,10800,36,1.0,0.1316796578,0.1316654704,1.418744896e-05
4,STABLE_START_S,10800,36,surface,0.05595365662,0.05595861657,4.959957751e-06
4,STABLE_START_S,10800,42,0.0,0.1712485118,0.1712263057,2.220611868e-05
4,STABLE_START_S,10800,42,0.5,0.1603854617,0.1603655868,1.987496736e-05
4,STABLE_START_S,10800,42,1.0,0.1199947916,0.1199828017,1.198990561e-05
4,STABLE_START_S,10800,42,surface,0.05409546374,0.05410082095,5.35720841e-06
4,STABLE_START_S,10800,48,0.0,0.1561587609,0.1561398896,1.88712863e-05
4,STABLE_START_S,10800,48,0.5,0.1468198394,0.1468028635,1.697594016e-05
4,STABLE_START_S,10800,48,1.0,0.111577835,0.1115674126,1.042234929e-05
4,STABLE_START_S,10800,48,surface,0.0530031293,0.05300872127,5.591964275e-06
