task,parameter,value,time_h,radius_cm,moisture_kgkg,base_moisture_kgkg,abs_dC_kgkg
4,n_intervals,800,6,0.0,1.719517304,1.719517304,0
4,n_intervals,800,6,0.5,1.537680131,1.537680131,0
4,n_intervals,800,6,1.0,1.022585593,1.022585593,0
4,n_intervals,800,6,surface,0.4207275526,0.4207275526,0
4,n_intervals,800,12,0.0,0.7375698124,0.7375698124,0
4,n_intervals,800,12,0.5,0.6545424643,0.6545424643,0
4,n_intervals,800,12,1.0,0.4082805095,0.4082805095,0
4,n_intervals,800,12,surface,0.1669479041,0.1669479041,0
4,n_intervals,800,18,0.0,0.4086840613,0.4086840613,0
4,n_intervals,800,18,0.5,0.3685948087,0.3685948087,0
4,n_intervals,800,18,1.0,0.2397193883,0.2397193883,0
4,n_intervals,800,18,surface,0.08917213898,0.08917213898,0
4,n_intervals,800,24,0.0,0.285077871,0.285077871,0
4,n_intervals,800,24,0.5,0.2610273115,0.2610273115,0
4,n_intervals,800,24,1.0,0.1789851721,0.1789851721,0
4,n_intervals,800,24,surface,0.06732494088,0.06732494088,0
4,n_intervals,800,30,0.0,0.2263001144,0.2263001144,0
4,n_intervals,800,30,0.5,0.2093660001,0.2093660001,0
4,n_intervals,800,30,1.0,0.1492693367,0.1492693367,0
4,n_intervals,800,30,surface,0.05948343046,0.05948343046,0
4,n_intervals,800,36,0.0,0.192801586,0.192801586,0
4,n_intervals,800,36,0.5,0.1796444868,0.1796444868,0
4,n_intervals,800,36,1.0,0.1316654704,0.1316654704,0
4,n_intervals,800,36,surface,0.05595861657,0.05595861657,0
4,n_intervals,800,42,0.0,0.1712263057,0.1712263057,0
4,n_intervals,800,42,0.5,0.1603655868,0.1603655868,0
4,n_intervals,800,42,1.0,0.1199828017,0.1199828017,0
4,n_intervals,800,42,surface,0.05410082095,0.05410082095,0
4,n_intervals,800,48,0.0,0.1561398896,0.1561398896,0
4,n_intervals,800,48,0.5,0.1468028635,0.1468028635,0
4,n_intervals,800,48,1.0,0.1115674126,0.1115674126,0
4,n_intervals,800,48,surface,0.05300872127,0.05300872127,0
