task,parameter,value,time_h,radius_cm,moisture_kgkg,base_moisture_kgkg,abs_dC_kgkg
4,picard_tol,tighten100x,6,0.0,1.719517304,1.719517304,5.440092821e-14
4,picard_tol,tighten100x,6,0.5,1.537680131,1.537680131,1.554312234e-14
4,picard_tol,tighten100x,6,1.0,1.022585593,1.022585593,1.776356839e-15
4,picard_tol,tighten100x,6,surface,0.4207275526,0.4207275526,9.142686608e-14
4,picard_tol,tighten100x,12,0.0,0.7375698124,0.7375698124,5.972999872e-14
4,picard_tol,tighten100x,12,0.5,0.6545424643,0.6545424643,5.617728505e-14
4,picard_tol,tighten100x,12,1.0,0.4082805095,0.4082805095,2.320366121e-14
4,picard_tol,tighten100x,12,surface,0.1669479041,0.1669479041,8.659739592e-15
4,picard_tol,tighten100x,18,0.0,0.4086840613,0.4086840613,5.384581669e-15
4,picard_tol,tighten100x,18,0.5,0.3685948087,0.3685948087,1.942890293e-15
4,picard_tol,tighten100x,18,1.0,0.2397193883,0.2397193883,2.819966483e-14
4,picard_tol,tighten100x,18,surface,0.08917213898,0.08917213898,1.791622406e-14
4,picard_tol,tighten100x,24,0.0,0.285077871,0.285077871,2.042810365e-14
4,picard_tol,tighten100x,24,0.5,0.2610273115,0.2610273115,1.521005544e-14
4,picard_tol,tighten100x,24,1.0,0.1789851721,0.1789851721,3.763656053e-14
4,picard_tol,tighten100x,24,surface,0.06732494088,0.06732494088,2.296773882e-14
4,picard_tol,tighten100x,30,0.0,0.2263001144,0.2263001144,1.870725796e-14
4,picard_tol,tighten100x,30,0.5,0.2093660001,0.2093660001,1.260103133e-14
4,picard_tol,tighten100x,30,1.0,0.1492693367,0.1492693367,6.245004514e-15
4,picard_tol,tighten100x,30,surface,0.05948343046,0.05948343046,5.502542866e-15
4,picard_tol,tighten100x,36,0.0,0.192801586,0.192801586,4.607425552e-15
4,picard_tol,tighten100x,36,0.5,0.1796444868,0.1796444868,5.856426455e-15
4,picard_tol,tighten100x,36,1.0,0.1316654704,0.1316654704,3.136380045e-15
4,picard_tol,tighten100x,36,surface,0.05595861657,0.05595861657,7.91033905e-16
4,picard_tol,tighten100x,42,0.0,0.1712263057,0.1712263057,7.105427358e-15
4,picard_tol,tighten100x,42,0.5,0.1603655868,0.1603655868,4.191091918e-15
4,picard_tol,tighten100x,42,1.0,0.1199828017,0.1199828017,1.258715354e-14
4,picard_tol,tighten100x,42,surface,0.05410082095,0.05410082095,2.768618668e-15
4,picard_tol,tighten100x,48,0.0,0.1561398896,0.1561398896,8.049116929e-16
4,picard_tol,tighten100x,48,0.5,0.1468028635,0.1468028635,1.026956298e-15
4,picard_tol,tighten100x,48,1.0,0.1115674126,0.1115674126,5.273559367e-15
4,picard_tol,tighten100x,48,surface,0.05300872127,0.05300872127,1.42247325e-15
