task,parameter,value,time_h,radius_cm,moisture_kgkg,base_moisture_kgkg,abs_dC_kgkg
4,time_step_early_s,0.5,6,0.0,1.719517304,1.719517304,2.017590539e-10
4,time_step_early_s,0.5,6,0.5,1.53768013,1.537680131,1.232136615e-10
4,time_step_early_s,0.5,6,1.0,1.022585593,1.022585593,3.516964497e-12
4,time_step_early_s,0.5,6,surface,0.4207275526,0.4207275526,1.665589888e-11
4,time_step_early_s,0.5,12,0.0,0.7375698124,0.7375698124,2.637146057e-11
4,time_step_early_s,0.5,12,0.5,0.6545424643,0.6545424643,2.259248344e-11
4,time_step_early_s,0.5,12,1.0,0.4082805095,0.4082805095,1.255118232e-11
4,time_step_early_s,0.5,12,surface,0.1669479041,0.1669479041,6.970229949e-12
4,time_step_early_s,0.5,18,0.0,0.4086840613,0.4086840613,8.545497643e-12
4,time_step_early_s,0.5,18,0.5,0.3685948087,0.3685948087,7.362499499e-12
4,time_step_early_s,0.5,18,1.0,0.2397193883,0.2397193883,3.94428934e-12
4,time_step_early_s,0.5,18,surface,0.08917213898,0.08917213898,1.748517997e-12
4,time_step_early_s,0.5,24,0.0,0.285077871,0.285077871,3.617162125e-12
4,time_step_early_s,0.5,24,0.5,0.2610273115,0.2610273115,3.152034189e-12
4,time_step_early_s,0.5,24,1.0,0.1789851721,0.1789851721,1.74843473e-12
4,time_step_early_s,0.5,24,surface,0.06732494088,0.06732494088,5.470346398e-13
4,time_step_early_s,0.5,30,0.0,0.2263001144,0.2263001144,1.905725577e-12
4,time_step_early_s,0.5,30,0.5,0.2093660001,0.2093660001,1.682154416e-12
4,time_step_early_s,0.5,30,1.0,0.1492693367,0.1492693367,9.723610805e-13
4,time_step_early_s,0.5,30,surface,0.05948343046,0.05948343046,2.233907503e-13
4,time_step_early_s,0.5,36,0.0,0.192801586,0.192801586,1.165123553e-12
4,time_step_early_s,0.5,36,0.5,0.1796444868,0.1796444868,1.040945108e-12
4,time_step_early_s,0.5,36,1.0,0.1316654704,0.1316654704,6.216416271e-13
4,time_step_early_s,0.5,36,surface,0.05595861657,0.05595861657,1.092112512e-13
4,time_step_early_s,0.5,42,0.0,0.1712263057,0.1712263057,7.937261959e-13
4,time_step_early_s,0.5,42,0.5,0.1603655867,0.1603655868,7.101819133e-13
4,time_step_early_s,0.5,42,1.0,0.1199828017,0.1199828017,4.350686478e-13
4,time_step_early_s,0.5,42,surface,0.05410082095,0.05410082095,6.167982791e-14
4,time_step_early_s,0.5,48,0.0,0.1561398896,0.1561398896,5.72597525e-13
4,time_step_early_s,0.5,48,0.5,0.1468028635,0.1468028635,5.156153282e-13
4,time_step_early_s,0.5,48,1.0,0.1115674126,0.1115674126,3.231026557e-13
4,time_step_early_s,0.5,48,surface,0.05300872127,0.05300872127,3.770594947e-14
