task,parameter,value,time_h,radius_cm,moisture_kgkg,base_moisture_kgkg,abs_dC_kgkg
4,time_step_early_s,2,6,0.0,1.719517305,1.719517304,8.068827828e-10
4,time_step_early_s,2,6,0.5,1.537680131,1.537680131,4.923588204e-10
4,time_step_early_s,2,6,1.0,1.022585593,1.022585593,1.371702751e-11
4,time_step_early_s,2,6,surface,0.4207275525,0.4207275526,6.641542871e-11
4,time_step_early_s,2,12,0.0,0.7375698125,0.7375698124,1.055814325e-10
4,time_step_early_s,2,12,0.5,0.6545424644,0.6545424643,9.037992577e-11
4,time_step_early_s,2,12,1.0,0.4082805095,0.4082805095,5.013839344e-11
4,time_step_early_s,2,12,surface,0.1669479041,0.1669479041,2.773103969e-11
4,time_step_early_s,2,18,0.0,0.4086840614,0.4086840613,3.413441751e-11
4,time_step_early_s,2,18,0.5,0.3685948088,0.3685948087,2.940708788e-11
4,time_step_early_s,2,18,1.0,0.2397193883,0.2397193883,1.575636843e-11
4,time_step_early_s,2,18,surface,0.08917213899,0.08917213898,6.959627319e-12
4,time_step_early_s,2,24,0.0,0.285077871,0.285077871,1.449690368e-11
4,time_step_early_s,2,24,0.5,0.2610273115,0.2610273115,1.264910399e-11
4,time_step_early_s,2,24,1.0,0.1789851721,0.1789851721,7.005784841e-12
4,time_step_early_s,2,24,surface,0.06732494088,0.06732494088,2.177938385e-12
4,time_step_early_s,2,30,0.0,0.2263001144,0.2263001144,7.670114544e-12
4,time_step_early_s,2,30,0.5,0.2093660001,0.2093660001,6.770362049e-12
4,time_step_early_s,2,30,1.0,0.1492693367,0.1492693367,3.913480651e-12
4,time_step_early_s,2,30,surface,0.05948343046,0.05948343046,8.931189122e-13
4,time_step_early_s,2,36,0.0,0.192801586,0.192801586,4.702516154e-12
4,time_step_early_s,2,36,0.5,0.1796444868,0.1796444868,4.183681179e-12
4,time_step_early_s,2,36,1.0,0.1316654704,0.1316654704,2.503081076e-12
4,time_step_early_s,2,36,surface,0.05595861657,0.05595861657,4.418965194e-13
4,time_step_early_s,2,42,0.0,0.1712263057,0.1712263057,3.172601071e-12
4,time_step_early_s,2,42,0.5,0.1603655868,0.1603655868,2.846084479e-12
4,time_step_early_s,2,42,1.0,0.1199828017,0.1199828017,1.749017597e-12
4,time_step_early_s,2,42,surface,0.05410082095,0.05410082095,2.472466676e-13
4,time_step_early_s,2,48,0.0,0.1561398896,0.1561398896,2.298078394e-12
4,time_step_early_s,2,48,0.5,0.1468028635,0.1468028635,2.071842697e-12
4,time_step_early_s,2,48,1.0,0.1115674126,0.1115674126,1.298267049e-12
4,time_step_early_s,2,48,surface,0.05300872127,0.05300872127,1.543001837e-13
