task,parameter,value,time_h,radius_cm,moisture_kgkg,base_moisture_kgkg,abs_dC_kgkg
4,time_step_long_s,10,6,0.0,1.719517308,1.719517304,3.848124486e-09
4,time_step_long_s,10,6,0.5,1.537680128,1.537680131,2.254691323e-09
4,time_step_long_s,10,6,1.0,1.022585585,1.022585593,7.985113237e-09
4,time_step_long_s,10,6,surface,0.4207275488,0.4207275526,3.798520332e-09
4,time_step_long_s,10,12,0.0,0.7375698009,0.7375698124,1.149660955e-08
4,time_step_long_s,10,12,0.5,0.6545424545,0.6545424643,9.81628745e-09
4,time_step_long_s,10,12,1.0,0.4082805039,0.4082805095,5.566342665e-09
4,time_step_long_s,10,12,surface,0.1669479007,0.1669479041,3.385086988e-09
4,time_step_long_s,10,18,0.0,0.4086840549,0.4086840613,6.449891954e-09
4,time_step_long_s,10,18,0.5,0.3685948032,0.3685948087,5.504869893e-09
4,time_step_long_s,10,18,1.0,0.2397193854,0.2397193883,2.883654066e-09
4,time_step_long_s,10,18,surface,0.08917213743,0.08917213898,1.557096632e-09
4,time_step_long_s,10,24,0.0,0.2850778676,0.285077871,3.355595524e-09
4,time_step_long_s,10,24,0.5,0.2610273086,0.2610273115,2.898225382e-09
4,time_step_long_s,10,24,1.0,0.1789851705,0.1789851721,1.551923257e-09
4,time_step_long_s,10,24,surface,0.06732494032,0.06732494088,5.644253259e-10
4,time_step_long_s,10,30,0.0,0.2263001125,0.2263001144,1.938301436e-09
4,time_step_long_s,10,30,0.5,0.2093659984,0.2093660001,1.697637531e-09
4,time_step_long_s,10,30,1.0,0.1492693357,0.1492693367,9.554255442e-10
4,time_step_long_s,10,30,surface,0.05948343021,0.05948343046,2.458340267e-10
4,time_step_long_s,10,36,0.0,0.1928015847,0.192801586,1.243591702e-09
4,time_step_long_s,10,36,0.5,0.1796444857,0.1796444868,1.101127328e-09
4,time_step_long_s,10,36,1.0,0.1316654697,0.1316654704,6.455290191e-10
4,time_step_long_s,10,36,surface,0.05595861645,0.05595861657,1.252466811e-10
4,time_step_long_s,10,42,0.0,0.1712263049,0.1712263057,8.638971483e-10
4,time_step_long_s,10,42,0.5,0.160365586,0.1603655868,7.71225861e-10
4,time_step_long_s,10,42,1.0,0.1199828012,0.1199828017,4.665591247e-10
4,time_step_long_s,10,42,surface,0.05410082088,0.05410082095,7.16104398e-11
4,time_step_long_s,10,48,0.0,0.1561398889,0.1561398896,6.364873906e-10
4,time_step_long_s,10,48,0.5,0.1468028629,0.1468028635,5.717407936e-10
4,time_step_long_s,10,48,1.0,0.1115674123,0.1115674126,3.542061783e-10
4,time_step_long_s,10,48,surface,0.05300872122,0.05300872127,4.463814735e-11
