task,parameter,value,time_h,radius_cm,moisture_kgkg,base_moisture_kgkg,abs_dC_kgkg
4,time_step_long_s,2.5,6,0.0,1.719517303,1.719517304,9.61988933e-10
4,time_step_long_s,2.5,6,0.5,1.537680131,1.537680131,5.636440203e-10
4,time_step_long_s,2.5,6,1.0,1.022585595,1.022585593,1.996255383e-09
4,time_step_long_s,2.5,6,surface,0.4207275534,0.4207275526,8.807997109e-10
4,time_step_long_s,2.5,12,0.0,0.7375698153,0.7375698124,2.874250948e-09
4,time_step_long_s,2.5,12,0.5,0.6545424668,0.6545424643,2.454136228e-09
4,time_step_long_s,2.5,12,1.0,0.4082805109,0.4082805095,1.39161338e-09
4,time_step_long_s,2.5,12,surface,0.1669479049,0.1669479041,8.44240261e-10
4,time_step_long_s,2.5,18,0.0,0.4086840629,0.4086840613,1.612494527e-09
4,time_step_long_s,2.5,18,0.5,0.3685948101,0.3685948087,1.376228409e-09
4,time_step_long_s,2.5,18,1.0,0.2397193891,0.2397193883,7.208674213e-10
4,time_step_long_s,2.5,18,surface,0.08917213937,0.08917213898,3.890888584e-10
4,time_step_long_s,2.5,24,0.0,0.2850778718,0.285077871,8.388807982e-10
4,time_step_long_s,2.5,24,0.5,0.2610273122,0.2610273115,7.245349876e-10
4,time_step_long_s,2.5,24,1.0,0.1789851724,0.1789851721,3.8792769e-10
4,time_step_long_s,2.5,24,surface,0.06732494102,0.06732494088,1.410336015e-10
4,time_step_long_s,2.5,30,0.0,0.2263001149,0.2263001144,4.845621127e-10
4,time_step_long_s,2.5,30,0.5,0.2093660005,0.2093660001,4.243968232e-10
4,time_step_long_s,2.5,30,1.0,0.1492693369,0.1492693367,2.387980924e-10
4,time_step_long_s,2.5,30,surface,0.05948343052,0.05948343046,6.143781317e-11
4,time_step_long_s,2.5,36,0.0,0.1928015863,0.192801586,3.108820978e-10
4,time_step_long_s,2.5,36,0.5,0.1796444871,0.1796444868,2.752558459e-10
4,time_step_long_s,2.5,36,1.0,0.1316654705,0.1316654704,1.613459089e-10
4,time_step_long_s,2.5,36,surface,0.0559586166,0.05595861657,3.130285614e-11
4,time_step_long_s,2.5,42,0.0,0.1712263059,0.1712263057,2.159490919e-10
4,time_step_long_s,2.5,42,0.5,0.1603655869,0.1603655868,1.927821236e-10
4,time_step_long_s,2.5,42,1.0,0.1199828018,0.1199828017,1.166389485e-10
4,time_step_long_s,2.5,42,surface,0.05410082097,0.05410082095,1.790319282e-11
4,time_step_long_s,2.5,48,0.0,0.1561398897,0.1561398896,1.591086984e-10
4,time_step_long_s,2.5,48,0.5,0.1468028636,0.1468028635,1.429235619e-10
4,time_step_long_s,2.5,48,1.0,0.1115674127,0.1115674126,8.854793287e-11
4,time_step_long_s,2.5,48,surface,0.05300872128,0.05300872127,1.117738541e-11
