time_s,radius_cm,z_cm,temperature_C,delta_from_midplane_C,is_requested_sample_z
100,0,0,28.16697427,0.1669206619,True
100,0,0.125,28.10939251,0.1093389004,False
100,0,0.25,28.06996888,0.06991527648,True
100,0,0.375,28.04367107,0.04361746082,False
100,0,0.5,28.02658338,0.02652977156,True
100,0,0.625,28.01577291,0.01571930101,False
100,0,0.75,28.00911887,0.009065258434,False
100,0,0.875,28.00513767,0.005084058778,False
100,0,1,28.00282442,0.002770809194,True
100,0,1.125,28.00152022,0.001466612439,False
100,0,1.25,28.00080723,0.0007536245839,False
100,0,1.375,28.00042946,0.0003758484452,False
100,0,1.5,28.00023551,0.0001819017192,False
100,0,1.625,28.00013904,8.543334997e-05,False
100,0,1.75,28.00009255,3.894283724e-05,False
100,0,1.875,28.00007084,1.723117083e-05,False
100,0,2,28.00006101,7.402772813e-06,False
100,0,2.125,28.0000567,3.088831924e-06,False
100,0,2.25,28.00005486,1.252160832e-06,False
100,0,2.375,28.0000541,4.933463913e-07,False
100,0,2.5,28.0000538,1.889908603e-07,True
100,0,2.625,28.00005368,7.042149619e-08,False
100,0,2.75,28.00005363,2.553448297e-08,False
100,0,2.875,28.00005362,9.013149338e-09,False
100,0,3,28.00005361,3.098065804e-09,False
100,0,3.125,28.00005361,1.036937647e-09,False
100,0,3.25,28.00005361,3.376143809e-10,False
100,0,3.375,28.00005361,1.063895638e-10,False
100,0,3.5,28.00005361,3.188205255e-11,False
100,0,3.625,28.00005361,8.505196547e-12,False
100,0,3.75,28.00005361,1.406874617e-12,False
100,0,3.875,28.00005361,6.110667528e-13,False
100,0,4,28.00005361,1.151079232e-12,False
100,0,4.125,28.00005361,1.406874617e-12,False
100,0,4.25,28.00005361,1.520561455e-12,False
100,0,4.375,28.00005361,1.563194019e-12,False
100,0,4.5,28.00005361,1.524114168e-12,False
100,0,4.625,28.00005361,1.570299446e-12,False
100,0,4.75,28.00005361,1.652011861e-12,False
100,0,4.875,28.00005361,1.723066134e-12,False
100,0,5,28.00005361,1.623590151e-12,True
100,0,5.125,28.00005361,1.591615728e-12,False
100,0,5.25,28.00005361,1.424638185e-12,False
100,0,5.375,28.00005361,1.456612608e-12,False
100,0,5.5,28.00005361,1.488587031e-12,False
100,0,5.625,28.00005361,1.513456027e-12,False
100,0,5.75,28.00005361,1.389111048e-12,False
100,0,5.875,28.00005361,1.396216476e-12,False
100,0,6,28.00005361,1.389111048e-12,False
100,0,6.125,28.00005361,1.403321903e-12,False
100,0,6.25,28.00005361,1.367794766e-12,False
100,0,6.375,28.00005361,1.357136625e-12,False
100,0,6.5,28.00005361,1.310951347e-12,False
100,0,6.625,28.00005361,1.360689339e-12,False
100,0,6.75,28.00005361,1.335820343e-12,False
100,0,6.875,28.00005361,1.385558335e-12,False
100,0,7,28.00005361,1.335820343e-12,False
100,0,7.125,28.00005361,1.41042733e-12,False
100,0,7.25,28.00005361,1.527666882e-12,False
100,0,7.375,28.00005361,1.627142865e-12,False
100,0,7.5,28.00005361,1.627142865e-12,True
100,0,7.625,28.00005361,1.652011861e-12,False
100,0,7.75,28.00005361,1.620037438e-12,False
100,0,7.875,28.00005361,1.627142865e-12,False
100,0,8,28.00005361,1.620037438e-12,False
100,0,8.125,28.00005361,1.588063014e-12,False
100,0,8.25,28.00005361,1.481481604e-12,False
100,0,8.375,28.00005361,1.488587031e-12,False
100,0,8.5,28.00005361,1.517008741e-12,False
100,0,8.625,28.00005361,1.527666882e-12,False
100,0,8.75,28.00005361,1.481481604e-12,False
100,0,8.875,28.00005361,1.47792889e-12,False
100,0,9,28.00005361,1.413980044e-12,False
100,0,9.125,28.00005361,1.445954467e-12,False
100,0,9.25,28.00005361,1.43884904e-12,False
100,0,9.375,28.00005361,1.495692459e-12,False
100,0,9.5,28.00005361,1.43884904e-12,False
100,0,9.625,28.00005361,1.413980044e-12,False
100,0,9.75,28.00005361,1.527666882e-12,False
100,0,9.875,28.00005361,1.637801006e-12,False
100,0,10,28.00005361,1.701749852e-12,True
100,0,10.125,28.00005361,1.701749852e-12,False
100,0,10.25,28.00005361,1.616484724e-12,False
100,0,10.375,28.00005361,1.630695579e-12,False
100,0,10.5,28.00005361,1.609379296e-12,False
100,0,10.625,28.00005361,1.577404873e-12,False
100,0,10.75,28.00005361,1.524114168e-12,False
100,0,10.875,28.00005361,1.534772309e-12,False
100,0,11,28.00005361,1.54543045e-12,False
100,0,11.125,28.00005361,1.531219596e-12,False
100,0,11.25,28.00005361,1.566746732e-12,False
100,0,11.375,28.00005361,1.552535878e-12,False
100,0,11.5,28.00005361,1.520561455e-12,False
100,0,11.625,28.00005361,1.449507181e-12,False
100,0,11.75,28.00005361,1.378452907e-12,False
100,0,11.875,28.00005361,1.318056775e-12,False
100,0,12,28.00005361,1.19726451e-12,False
100,0,12.125,28.00005361,1.033839681e-12,False
100,0,12.25,28.00005361,8.242295735e-13,False
100,0,12.375,28.00005361,4.192202141e-13,False
100,0,12.5,28.00005361,0,True
100,1.5,0,28.19244504,0.159744698,True
100,1.5,0.125,28.13686868,0.1041683342,False
100,1.5,0.25,28.09902671,0.06632636317,True
100,1.5,0.375,28.07391667,0.04121632327,False
100,1.5,0.5,28.05768054,0.0249801902,True
100,1.5,0.625,28.04745439,0.01475404044,False
100,1.5,0.75,28.04118491,0.008484559858,False
100,1.5,0.875,28.03744686,0.004746511306,False
100,1.5,1,28.0352815,0.002581151071,True
100,1.5,1.125,28.03406391,0.00136356871,False
100,1.5,1.25,28.03339981,0.0006994690353,False
100,1.5,1.375,28.03304865,0.0003483063796,False
100,1.5,1.5,28.03286869,0.0001683420317,False
100,1.5,1.625,28.03277931,7.896820901e-05,False
100,1.5,1.75,28.0327363,3.595631811e-05,False
100,1.5,1.875,28.03271624,1.589394924e-05,False
100,1.5,2,28.03270717,6.822153793e-06,False
100,1.5,2.125,28.03270319,2.844244392e-06,False
