time_s,radius_cm,threshold_C,temperature_end_C,temperature_midplane_C,delta_at_end_C,delta_at_midplane_C,propagation_distance_cm,status
100,0,0.1,28.16697427,28.00005361,0.1669206619,0,0.1546107366,threshold_crossed
100,1.5,0.1,28.19244504,28.03270035,0.159744698,0,0.1387688859,threshold_crossed
300,0,0.1,28.78854351,28.04079715,0.7477463652,0,0.9685135919,threshold_crossed
300,1.5,0.1,29.00929277,28.36806231,0.6412304531,0,0.8813875393,threshold_crossed
600,0,0.1,30.12625079,28.45333578,1.672915006,0,1.826157833,threshold_crossed
600,1.5,0.1,30.64805298,29.31590666,1.332146318,0,1.674296883,threshold_crossed
900,0,0.1,31.80485026,29.32429792,2.480552331,0,2.462664144,threshold_crossed
900,1.5,0.1,32.53594365,30.6161344,1.919809248,0,2.269965438,threshold_crossed
1200,0,0.1,33.64748286,30.54272011,3.104762751,0,2.9741819,threshold_crossed
1200,1.5,0.1,34.49392428,32.11255217,2.381372107,0,2.751571646,threshold_crossed
1500,0,0.1,35.4833266,31.99571953,3.487607071,0,3.393247838,threshold_crossed
1500,1.5,0.1,36.38953722,33.74627292,2.643264308,0,3.147974425,threshold_crossed
1800,0,0.1,37.27053287,33.57534247,3.695190399,0,3.7426706,threshold_crossed
1800,1.5,0.1,38.16132057,35.36212086,2.799199711,0,3.476317463,threshold_crossed
