time_s,radius_cm,temperature_1d_C,temperature_2d_midplane_C,signed_error_2d_minus_1d_C,abs_error_C
100,0,28.0001,28.00005361,-4.639172732e-05,4.639172732e-05
100,0.5,28.0003,28.00034812,4.81200022e-05,4.81200022e-05
100,1,28.004,28.00404722,4.721699153e-05,4.721699153e-05
100,1.5,28.0327,28.03270035,3.459023254e-07,3.459023254e-07
100,2,28.1801,28.18004706,-5.293584717e-05,5.293584717e-05
300,0,28.0408,28.04079715,-2.853272427e-06,2.853272427e-06
300,0.5,28.0635,28.06349273,-7.267690396e-06,7.267690396e-06
300,1,28.1514,28.15139682,-3.184172453e-06,3.184172453e-06
300,1.5,28.3681,28.36806231,-3.768513738e-05,3.768513738e-05
300,2,28.8488,28.8488226,2.259751859e-05,2.259751859e-05
600,0,28.4533,28.45333578,3.578002275e-05,3.578002275e-05
600,0.5,28.536,28.53603486,3.485983229e-05,3.485983229e-05
600,1,28.8039,28.80394316,4.316439979e-05,4.316439979e-05
600,1.5,29.3159,29.31590666,6.660604054e-06,6.660604054e-06
600,2,30.1652,30.16520972,9.719134841e-06,9.719134841e-06
900,0,29.3243,29.32429792,-2.075016123e-06,2.075016123e-06
900,0.5,29.4583,29.45825252,-4.748226228e-05,4.748226228e-05
900,1,29.8755,29.8754516,-4.840262186e-05,4.840262186e-05
900,1.5,30.6161,30.6161344,3.440122472e-05,3.440122472e-05
900,2,31.7304,31.73038882,-1.118110206e-05,1.118110206e-05
1200,0,30.5427,30.54272011,2.010891234e-05,2.010891234e-05
1200,0.5,30.7098,30.70976881,-3.118925716e-05,3.118925716e-05
1200,1,31.2223,31.22234607,4.607366413e-05,4.607366413e-05
1200,1.5,32.1126,32.11255217,-4.78305084e-05,4.78305084e-05
1200,2,33.4276,33.42762413,2.412569033e-05,2.412569033e-05
1500,0,31.9957,31.99571953,1.952645679e-05,1.952645679e-05
1500,0.5,32.1867,32.1867326,3.260089747e-05,3.260089747e-05
1500,1,32.766,32.76601746,1.746029942e-05,1.746029942e-05
1500,1.5,33.7463,33.74627292,-2.70844041e-05,2.70844041e-05
1500,2,35.1203,35.1202637,-3.630285072e-05,3.630285072e-05
1800,0,33.5753,33.57534247,4.246789955e-05,4.246789955e-05
1800,0.5,33.772,33.77199974,-2.617494985e-07,2.617494985e-07
1800,1,34.3642,34.36415857,-4.142744221e-05,4.142744221e-05
1800,1.5,35.3621,35.36212086,2.085835519e-05,2.085835519e-05
1800,2,36.7856,36.78555613,-4.386826554e-05,4.386826554e-05
