time_s,radius_cm,temperature_C,moisture_kgkg
100,0.0,28.0001,2.5500
100,0.5,28.0003,2.5500
100,1.0,28.0040,2.5500
100,1.5,28.0327,2.5500
100,2.0,28.1800,2.2475
300,0.0,28.0408,2.5500
300,0.5,28.0635,2.5500
300,1.0,28.1514,2.5500
300,1.5,28.3681,2.5492
300,2.0,28.8488,2.0510
600,0.0,28.4533,2.5500
600,0.5,28.5360,2.5500
600,1.0,28.8039,2.5500
600,1.5,29.3159,2.5353
600,2.0,30.1652,1.8771
900,0.0,29.3243,2.5500
900,0.5,29.4583,2.5500
900,1.0,29.8755,2.5497
900,1.5,30.6161,2.5045
900,2.0,31.7304,1.7548
1200,0.0,30.5427,2.5500
1200,0.5,30.7098,2.5500
1200,1.0,31.2223,2.5482
1200,1.5,32.1126,2.4646
1200,2.0,33.4276,1.6586
1500,0.0,31.9957,2.5500
1500,0.5,32.1867,2.5499
1500,1.0,32.7660,2.5445
1500,1.5,33.7463,2.4206
1500,2.0,35.1203,1.5788
1800,0.0,33.5753,2.5500
1800,0.5,33.7720,2.5497
1800,1.0,34.3642,2.5383
1800,1.5,35.3621,2.3755
1800,2.0,36.7856,1.5103
