step,time_s,dt_s,picard_iterations,picard_delta_temperature_C,picard_delta_moisture_kgkg,temperature_linear_normalized_inf_residual,moisture_linear_normalized_inf_residual,linear_normalized_inf_residual,temperature_boundary_flux,temperature_balance_residual,moisture_boundary_flux,moisture_balance_residual
1,1.000000,1.000000,4,1.215028e-12,2.846612e-13,2.523351e-16,2.886033e-16,2.886033e-16,2.169560e-03,1.325447e-10,-4.018477e-08,1.664089e-19
2,2.000000,1.000000,4,1.641354e-12,8.197887e-13,3.368360e-16,2.897012e-16,3.368360e-16,6.478369e-03,1.886904e-11,-3.988112e-08,1.349959e-20
3,3.000000,1.000000,4,1.257661e-12,4.702905e-13,2.527789e-16,2.905148e-16,2.905148e-16,1.074194e-02,2.666070e-11,-3.973297e-08,-1.005918e-19
4,4.000000,1.000000,4,1.620037e-12,6.377121e-13,2.529242e-16,2.911633e-16,2.911633e-16,1.497559e-02,7.448372e-11,-3.958288e-08,-1.205037e-20
5,5.000000,1.000000,4,1.321609e-12,5.258016e-13,2.530367e-16,2.917304e-16,2.917304e-16,1.918315e-02,1.213589e-10,-3.947252e-08,2.781643e-19
6,6.000000,1.000000,4,2.334133e-12,5.742073e-13,3.375262e-16,2.922483e-16,3.375262e-16,2.336846e-02,-1.324842e-11,-3.936084e-08,1.645295e-19
7,7.000000,1.000000,4,1.467271e-12,5.102585e-13,2.532372e-16,2.927239e-16,2.927239e-16,2.753341e-02,-1.000267e-11,-3.926937e-08,1.332092e-20
8,8.000000,1.000000,4,1.545430e-12,5.289102e-13,3.377683e-16,3.664189e-16,3.664189e-16,3.167994e-02,-2.526016e-11,-3.917689e-08,3.328575e-21
9,9.000000,1.000000,4,1.520561e-12,4.960476e-13,3.378748e-16,2.935794e-16,3.378748e-16,3.580922e-02,-3.130343e-12,-3.909722e-08,2.865354e-21
10,10.000000,1.000000,4,1.119105e-12,5.013767e-13,2.534832e-16,2.939711e-16,2.939711e-16,3.992246e-02,3.766203e-12,-3.901675e-08,-1.277299e-19
11,11.000000,1.000000,4,1.580958e-12,4.654055e-13,3.380177e-16,2.943446e-16,3.380177e-16,4.402050e-02,7.265232e-11,-3.894533e-08,-2.290298e-20
12,12.000000,1.000000,4,1.762146e-12,4.547474e-13,3.381190e-16,2.947006e-16,3.381190e-16,4.810416e-02,-8.829201e-12,-3.887326e-08,-7.861525e-20
13,13.000000,1.000000,4,1.868727e-12,4.338752e-13,3.382490e-16,2.950416e-16,3.382490e-16,5.217408e-02,1.590598e-10,-3.880804e-08,-1.098496e-20
14,14.000000,1.000000,4,1.445954e-12,4.098943e-13,2.537488e-16,2.953701e-16,2.953701e-16,5.623089e-02,9.098680e-12,-3.874227e-08,4.397954e-20
15,15.000000,1.000000,4,1.548983e-12,3.921308e-13,2.538075e-16,3.696089e-16,3.696089e-16,6.027507e-02,8.332540e-11,-3.868191e-08,1.810268e-19
