step,time_s,dt_s,midpoint_radius_m,radius_m,midpoint_air_temperature_C,midpoint_air_moisture_kgkg,picard_iterations,picard_delta_temperature_C,picard_delta_moisture_kgkg,temperature_linear_normalized_inf_residual,moisture_linear_normalized_inf_residual,linear_normalized_inf_residual,temperature_balance_residual,moisture_balance_residual,temperature_boundary_flux,moisture_boundary_flux,max_moisture_kgkg,max_xi,max_radius_m
1,1.000000,1.000000,1.999964722222e-02,1.999929444444e-02,2.800440000000e+01,1.963325000000e-02,4,1.776357e-13,9.250378e-13,1.881618e-16,3.066927e-16,3.066927e-16,-5.163687e-08,1.490778e-18,5.398299e+00,-9.968548e-05,2.550000000000e+00,2.425000000000e-01,4.849828902778e-03
2,2.000000,1.000000,1.999894166667e-02,1.999858888889e-02,2.801320000000e+01,1.963975000000e-02,4,1.421085e-13,3.622880e-12,1.884420e-16,2.561190e-16,2.561190e-16,-7.692992e-08,-1.044900e-17,1.609436e+01,-9.783165e-05,2.550000000000e+00,9.125000000000e-02,1.824871236111e-03
3,3.000000,1.000000,1.999823611111e-02,1.999788333333e-02,2.802200000000e+01,1.964625000000e-02,4,1.953993e-13,2.842615e-12,2.515233e-16,2.565192e-16,2.565192e-16,2.424171e-08,3.374579e-18,2.664112e+01,-9.699220e-05,2.550000000000e+00,5.912500000000e-01,1.182374852083e-02
4,4.000000,1.000000,1.999753055556e-02,1.999717777778e-02,2.803080000000e+01,1.965275000000e-02,4,4.405365e-13,3.324008e-12,3.146510e-16,2.568683e-16,3.146510e-16,-3.503288e-08,9.337691e-18,3.709031e+01,-9.617035e-05,2.550000000000e+00,5.887500000000e-01,1.177333841667e-02
5,5.000000,1.000000,1.999682500000e-02,1.999647222222e-02,2.803960000000e+01,1.965925000000e-02,4,1.350031e-13,3.292477e-12,1.889149e-16,2.571825e-16,2.571825e-16,1.316430e-09,-1.443344e-17,4.745476e+01,-9.553666e-05,2.550000000000e+00,9.625000000000e-02,1.924660451389e-03
6,6.000000,1.000000,1.999611944444e-02,1.999576666667e-02,2.804840000000e+01,1.966575000000e-02,4,2.806644e-13,3.356870e-12,2.520446e-16,2.574406e-16,2.574406e-16,3.158279e-08,1.368805e-17,5.774740e+01,-9.494611e-05,2.550000000000e+00,8.475000000000e-01,1.694641225000e-02
7,7.000000,1.000000,1.999541388889e-02,1.999506111111e-02,2.805720000000e+01,1.967225000000e-02,4,2.522427e-13,3.309353e-12,2.521767e-16,2.576844e-16,2.576844e-16,-1.189500e-08,1.025926e-17,6.797465e+01,-9.442759e-05,2.550000000000e+00,3.075000000000e-01,6.148481291667e-03
8,8.000000,1.000000,1.999470833333e-02,1.999435555556e-02,2.806600000000e+01,1.967875000000e-02,4,1.918465e-13,3.272493e-12,1.892208e-16,2.579284e-16,2.579284e-16,1.083154e-08,1.413529e-17,7.814295e+01,-9.394479e-05,2.550000000000e+00,6.787500000000e-01,1.357116883333e-02
9,9.000000,1.000000,1.999400277778e-02,1.999365000000e-02,2.807480000000e+01,1.968525000000e-02,4,1.740830e-13,3.208545e-12,1.893063e-16,2.581295e-16,2.581295e-16,5.137180e-08,-6.993104e-18,8.825630e+01,-9.350063e-05,2.550000000000e+00,1.637500000000e-01,3.273960187500e-03
10,10.000000,1.000000,1.999329722222e-02,1.999294444444e-02,2.808360000000e+01,1.969175000000e-02,4,1.421085e-13,3.146816e-12,2.525186e-16,2.583384e-16,2.583384e-16,-3.506855e-09,-6.234162e-19,9.831874e+01,-9.308333e-05,2.550000000000e+00,1.675000000000e-01,3.348818194444e-03
11,11.000000,1.000000,1.999259166667e-02,1.999223888889e-02,2.809240000000e+01,1.969825000000e-02,4,1.953993e-13,3.076650e-12,1.894613e-16,3.102294e-16,3.102294e-16,-9.176262e-09,-4.282599e-18,1.083331e+02,-9.269125e-05,2.550000000000e+00,1.637500000000e-01,3.273729118056e-03
12,12.000000,1.000000,1.999188611111e-02,1.999153333333e-02,2.810120000000e+01,1.970475000000e-02,4,3.694822e-13,3.006928e-12,1.895270e-16,2.587114e-16,2.587114e-16,4.223060e-08,3.148252e-17,1.183021e+02,-9.231952e-05,2.550000000000e+00,1.687500000000e-01,3.373571250000e-03
13,13.000000,1.000000,1.999118055556e-02,1.999082777778e-02,2.811000000000e+01,1.971125000000e-02,4,1.989520e-13,2.938538e-12,1.895912e-16,2.588804e-16,2.588804e-16,-2.925390e-09,3.997996e-18,1.282279e+02,-9.196617e-05,2.550000000000e+00,1.650000000000e-01,3.298486583333e-03
